"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Beta VI",Q10300,4120,150,beta6,2018-04-22T21:14:29,,,,
"Beta XII-Alfa",Q10301,4121,150,beta12a,2018-04-22T21:14:29,,,,
Betazed,Q10302,4044,150,betazed,2018-04-22T21:14:28,,,,
Betazoidi,Q10303,5044,122,betazoidi,2018-05-13T12:23:20,,,,
"Beth Delta I",Q10304,4043,150,bethdelta1,2018-04-22T21:14:28,,,,
"Beth Nufer",Q1186,9901,189,nuferbeth,2018-05-20T20:34:59,,,,
"Beth Toussaint",Q1187,7782,195,toussaintbeth,2018-05-20T17:01:00,,,,
"Beth Woods (woods)",Q1188,1780,115,woods,2018-04-22T16:17:12,Beth_Woods_%28Lieutenant_Commander%29,,,
"Beth Woods (woodsbeth)",Q1189,7521,198,woodsbeth,2018-05-20T17:00:57,,,nm1180086,
Bethany,Q1190,6540,94,bethany,2018-04-22T16:17:31,Bethany,,,
"Betty McGurie",Q1191,8500,188,mcguriebetty,2018-05-20T20:34:35,,,,
"Betty Muramoto",Q1192,7580,188,muramotobetty,2018-05-20T17:00:59,,,,
"Beverly Crusher",Q1193,2153,95,crusherbeverly,2018-04-22T16:17:19,Beverly_Crusher,,,
"Beverly Hart",Q1194,9990,183,hartbeverly,2018-05-20T20:35:01,,,,
"Beverly Leech",Q1195,9772,187,leechbeverly,2018-05-20T20:34:55,,,,
"Beverly Washburn",Q1196,6954,198,washburnbeverly,2018-05-20T17:00:47,,,,
"Beyond The Farthest Star",Q1197,2986,19,tas04,2018-04-30T09:57:19,,,,5221.3
Bhavani,Q1198,7634,94,bhavani,2018-04-22T16:17:33,Bhavani,,,
"Bibi Besch",Q1199,9884,177,beschbibi,2018-05-20T20:34:58,,,,
Bibliografia,Q12425,861,9,bibliografia,2018-05-20T21:39:02,,,,
"Biddle 'B.C.' Coleridge",Q12535,8579,95,coleridgebiddle,2018-04-22T16:17:38,Biddle_Coleridge,,,
"Bietola livaniana",Q1200,5937,204,bietolalivaniana,2018-05-27T13:43:36,,,,
"Biff Elliot",Q1201,6852,180,elliotbiff,2018-05-20T17:00:44,,,,
"Biff Manard",Q1202,7392,188,manardbiff,2018-05-20T17:00:54,,,,
"Biff Yeager",Q1203,1754,200,yeagerbiff,2018-05-20T16:21:13,,,nm0947010,
Biggs,Q1204,10389,356,mibiggs,2018-05-20T22:01:54,,,,
"Bilana III",Q1205,4042,150,bilana3,2018-04-22T21:14:28,,,,
Bilaniani,Q1206,5043,122,bilaniani,2018-05-13T12:23:20,,,,
Bilar,Q1207,6882,94,bilar,2018-04-22T16:17:32,Bilar,,,
Bilecki,Q1208,2248,94,bilecki,2018-04-22T16:17:20,Bilecki,,,
"Bill Bolender",Q1209,8522,177,bolenderbill,2018-05-20T20:34:36,,,,
"Bill Burton, Jr.",Q1210,10084,177,burtonbilljr,2018-05-20T20:35:04,,,,
"Bill Catching",Q1211,1007,178,catchingbill,2018-05-20T16:20:50,,,nm0145998,
"Bill Cho Lee",Q1212,8003,187,leebillcho,2018-05-20T20:34:29,,,,
"Bill Cobbs",Q1213,6608,178,cobbsbill,2018-05-20T17:00:39,,,,
"Bill Couch",Q1214,9911,178,couchbill,2018-05-20T20:34:59,,,,
"Bill Couch, Jr.",Q1215,9895,178,couchbilljr,2018-05-20T20:34:58,,,,
"Bill Couch, Sr.",Q1216,9896,178,couchbillsr,2018-05-20T20:34:58,,,,
"Bill Dial",Q1217,1096,179,dialbill,2018-05-20T16:20:52,,,nm0224482,
"Bill Erwin",Q1218,7781,180,erwinbill,2018-05-20T17:01:00,,,,
"Bill McTosh",Q1219,7494,188,mctoshbill,2018-05-20T17:00:56,,,nm0570632,
"Bill Mondy",Q1220,8509,188,mondybill,2018-05-20T20:34:36,,,,
"Bill Mumy",Q1221,9006,188,mumybill,2018-05-20T20:34:44,,,nm0612621,
"Bill Prady",Q1222,9556,191,pradybill,2018-05-20T20:34:52,,,nm0695080,
"Bill Quinn",Q1223,9989,192,quinnbill,2018-05-20T20:35:01,,,,
"Bill Smillie",Q1224,10229,111,smillie,2018-04-22T16:17:46,Bill_(Fleet_Admiral),,,
"Bill Smitrovich",Q1225,8640,194,smitrovichbill,2018-05-20T20:34:37,,,,
"Bill Vallely",Q1226,9665,197,vallelybill,2018-05-20T20:34:54,,,nm1262683,
"Bill Zuckert",Q1227,6328,201,zuckertbill,2018-05-20T17:00:34,,,,
Billy,Q1228,6418,94,billy,2018-04-22T16:17:29,Billy_(Carbon_Creek),,,
"Billy Burke",Q1229,8628,177,burkebilly,2018-05-20T20:34:37,,,,
"Billy Curtis",Q1230,6983,178,curtisbilly,2018-05-20T17:00:47,,,,
"Billy Hank Hooker",Q1231,10069,183,hookerbillyhank,2018-05-20T20:35:04,,,,
"Billy Mayo",Q1232,6497,188,mayobilly,2018-05-20T17:00:37,,,,
"Billy Simpson",Q1233,10597,194,simpsonbilly,2018-05-20T21:13:02,,,nm0800916,
"Billy Van Zandt",Q1234,7505,197,vanzandtbilly,2018-05-20T17:00:57,,,nm0888345,
Binari,Q1235,5042,122,binari,2018-05-13T12:23:20,,,,
Bio-Genovesio,Q1236,5134,214,biogenovesio,2018-05-20T22:01:40,,,,
Bionave,Q1237,27,8,as8472bionave,2018-05-06T13:10:46,,,,
"Biosonda sottocutanea",Q1238,5128,213,biosondasottocutanea,2018-05-20T22:01:40,,,,
"Bird of Prey (2150)",Q1239,260,41,asromukbop21501,2018-05-06T13:11:11,,,,
"Bird of Prey (asromukbop22601)",Q1240,261,244,asromukbop22601,2018-05-06T13:11:11,,,,
"Bird of Prey (asromukbop22602)",Q1241,262,244,asromukbop22602,2018-05-06T13:11:12,,,,
"Birra Brestanti",Q1243,5788,203,birrabrestanti,2018-05-27T13:13:54,,,,
"Birra Toffa",Q1248,5792,203,birratoffa,2018-05-27T13:13:55,,,,
"Birra andoriana",Q1242,5787,203,birraandoriana,2018-05-27T13:13:54,,,,
"Birra cardassiana",Q1244,5789,203,birracardassiana,2018-05-27T13:13:54,,,,
"Birra di Ennan VI",Q1245,5860,203,bebirraennan6,2018-05-27T13:13:57,,,,
"Birra maporiana",Q1246,5790,203,birramaporiana,2018-05-27T13:13:54,,,,
"Birra romulana",Q1247,5791,203,birraromulana,2018-05-27T13:13:54,,"Romulan ale",,
"Birra trakiana",Q1249,5793,203,birratrakiana,2018-05-27T13:13:55,,,,
Birta,Q1250,8258,94,birta,2018-04-22T16:17:36,Birta,,,
"Birthright - Part I",Q1251,2696,21,tng142,2018-04-02T21:04:44,Birthright%2C_Part_I_%28episode%29,,tt0708679,46578.4
"Birthright - Part II",Q1252,2697,21,tng143,2018-04-02T21:04:44,,,,46579.2
"Bistecca di kilm",Q1253,5938,204,bisteccaklim,2018-05-27T13:43:36,,,,
"Bistecca di lumaca",Q1254,5939,204,bisteccalumaca,2018-05-27T13:43:36,,,,
"Bjo Trimble",Q1255,4684,195,trimblebjo,2018-05-20T17:00:27,,,,
"Bjorn Bensen",Q1256,7305,94,bensenbjorn,2018-04-22T16:17:33,Bjorn_Bensen,,,
Black,Q1257,6681,356,miblack,2018-05-20T22:01:47,,,,
"Black Fire",Q1258,4505,53,litoblackfire,2018-05-13T12:47:28,,,,
"Black Sea at night",Q1260,5237,208,blackseanight,2018-05-27T12:54:30,,,,
Blackjack,Q1259,6023,206,blackjack,2018-05-20T22:01:47,,,,
"Blair Valk",Q1261,8843,197,valkblair,2018-05-20T20:34:41,,,,
"Blaisdel Makee",Q1262,1363,188,makeeblaisdel,2018-05-20T16:21:01,,,nm0086426,
"Blake Lindsley",Q1263,9004,187,lindsleyblake,2018-05-20T20:34:43,,,,
"Blaze of Glory",Q1264,2500,1,dsn121,2018-04-02T21:04:38,,,,50862.3
"Blink of an Eye",Q1265,2863,22,voy132,2018-04-02T21:04:51,Blink_of_an_Eye,,tt0708856,
Bliss,Q1266,2839,22,voy108,2018-04-02T21:04:50,,,,52542.3
Blitmanite,Q1267,5135,214,blitmanite,2018-05-20T22:01:40,,,,
"Blood Fever",Q1268,2789,22,voy058,2018-04-02T21:04:48,Blood_Fever,,,50537.2
"Blood Oath",Q1269,2419,1,dsn039,2018-04-02T21:04:35,Blood_Oath,,tt0708507,47789.8
Bloodlines,Q1270,2728,21,tng174,2018-04-02T21:04:46,,,,47829.1
Bloodthirst,Q1271,4506,53,litobloodthirst,2018-05-13T12:47:28,,,,
"Blu Horizon",Q1272,4041,150,bluhorizon,2018-04-22T21:14:28,,,,
"Bo Zenga",Q1273,8306,201,zengabo,2018-05-20T20:34:33,,,,
Bo'rak,Q1274,8600,94,borak,2018-04-22T16:17:38,Bo%27rak,,,
"Bob Briggs",Q1275,10153,94,briggsbob,2018-04-22T16:17:45,Bob_Briggs,,,
"Bob Clendenin",Q1276,9182,178,clendeninbob,2018-05-20T20:34:47,,,nm0003928,
