"0-Titolo pagina","1-DataTrek Item",2-HTPaginaID,3-HTSezioneID,4-HTPaginaTag,5-HTPaginaElaboarata,6-HTMAPage,7-HTOriginale,8-HTimdbID,"9-Data stellare"
"Brian Tochi",Q1415,1665,195,tochibrian,2018-05-20T16:21:10,,,nm0865058,
"Briar patch",Q1416,5971,205,briarpatch,2018-05-20T22:01:45,Briar_Patch,"Briar patch",,
"Brice R. Parker",Q1417,8875,191,parkerbricer,2018-05-20T20:34:42,,,nm0662095,
"Bride of Chaotica!",Q1418,2837,22,voy106,2018-04-02T21:04:50,,,,
"Bridget Ann White",Q1419,8896,198,whitebridgetann,2018-05-20T20:34:42,,,,
"Brigid Brannaugh",Q1420,6404,177,brannaughbrigid,2018-05-20T17:00:36,,,,
Brilgar,Q1421,2254,94,brilgar,2018-04-22T16:17:20,Brilgar,,,
"Brin (brin)",Q1422,9055,94,brin,2018-04-22T16:17:41,Brin_(Bajoran),,,
"Brin (brin1)",Q1423,10770,94,brin1,2018-04-22T16:17:49,Brin_(Uxali),,,
"Brina tamariana",Q1424,5797,203,brinatamariana,2018-05-27T13:13:55,,,,
"Bringloid V",Q1425,4034,150,bringloid5,2018-04-22T21:14:28,,,,
Bringloidi,Q1426,5033,122,bringloidi,2018-05-13T12:23:20,,,,
"Brioni Farrell",Q1427,6830,181,farrellbrioni,2018-05-20T17:00:44,,,nm0268187,
Briori,Q1428,5032,122,briori,2018-05-13T12:23:20,,,,
"Brittany Parkyn",Q1429,10033,191,parkynbrittany,2018-05-20T20:35:03,,,,
Broca,Q1430,9081,94,broca,2018-04-22T16:17:41,Broca,,,
"Brock Burnett",Q1431,9802,177,burnettbrock,2018-05-20T20:34:56,,,,
"Brock Peters",Q1432,1488,191,petersbrock,2018-05-20T16:21:05,,,nm0676349,
"Brodo di leola",Q1433,5940,204,brodoleola,2018-05-27T13:43:36,,,,
"Brodo di uova senariane",Q1434,5941,204,brodouovasenariane,2018-05-27T13:43:36,,,,
Brody,Q1435,7191,94,brody,2018-04-22T16:17:33,Brody,,,
Broik,Q1436,9082,94,broik,2018-04-22T16:17:41,Broik,,,
Brok'Tan,Q1437,9565,94,broktan,2018-04-22T16:17:43,Brok%27tan,,,
"Broken Bow",Q1438,2285,17,ent001,2018-04-02T21:04:27,,,,
"Broken Link",Q1439,5093,1,dsn098,2018-04-07T16:50:21,,,,49962.4
Brone,Q1441,9472,94,brone,2018-04-22T16:17:43,Brone,,,
"Brooke Ashley Stephens",Q1443,9528,194,stephensbrookeashley,2018-05-20T20:34:51,,,,
"Brooke Averi",Q1444,9760,176,averibrooke,2018-05-20T20:34:55,,,,
"Brooke Benko",Q1445,9810,177,benkobrooke,2018-05-20T20:34:57,,,,
"Brooke Breton",Q1446,960,177,bretonbrooke,2018-05-20T16:20:48,,,nm0107868,
"Brooke Bundy",Q1447,7196,177,bundybrooke,2018-05-20T17:00:51,,,,
"Brooker Bradshaw",Q1448,952,177,bradshawbrooker,2018-05-20T16:20:48,,,nm0103468,
Brooks,Q1449,2256,94,brooks,2018-04-22T16:17:20,Brooks_(Ensign),,,
Brossmer,Q1450,7914,94,brossmer,2018-04-22T16:17:35,Brossmer,,,
Brota,Q1451,8821,94,brota,2018-04-22T16:17:39,Brota,,,
Brothers,Q1453,2631,21,tng077,2018-04-02T21:04:42,,,,44085.7
"Browder IV",Q1454,4130,150,browder4,2018-04-22T21:14:30,,,,
Brower,Q1455,2260,94,brower,2018-04-22T16:17:20,Brower,,,
Brown,Q1456,2177,94,brown,2018-04-22T16:17:20,Brown_(Doctor),,,
Browne,Q1457,10398,356,browne,2018-05-20T22:01:55,,,,
"Bruce Beatty",Q1458,8173,177,beattybruce,2018-05-20T20:34:32,,,,
"Bruce Bohn",Q1459,9280,177,bohnbruce,2018-05-20T20:34:49,,,,
"Bruce D. Arthurs",Q1460,7850,176,arthursbruced,2018-05-20T20:34:26,,,nm1665959,
"Bruce Davison",Q1461,1076,179,davisonbruce,2018-05-20T16:20:52,,,nm0001117,
"Bruce French",Q1462,1161,181,frenchbruce,2018-05-20T16:20:54,,,nm0294050,
"Bruce Gray",Q1463,1199,182,graybruce,2018-05-20T16:20:55,,,nm0336489,
"Bruce Greenwood",Q1464,10661,182,greenwoodbruce,2018-05-20T21:13:02,,,nm0339304,
"Bruce Hyde",Q1465,1255,183,hydebruce,2018-05-20T16:20:57,,,nm0404953,
"Bruce Maddox",Q1466,2003,105,maddoxbruce,2018-04-22T16:17:15,Bruce_Maddox,,,
"Bruce Mars",Q1467,1373,188,marsbruce,2018-05-20T16:21:01,,,nm0550308,
"Bruce McGill",Q1468,9459,188,mcgillbruce,2018-05-20T20:34:51,,,,
"Bruce Thomas",Q1469,1651,195,thomasbruce,2018-05-20T16:21:10,,,nm0858573,
"Bruce Watson",Q1470,6740,198,watsonbruce,2018-05-20T17:00:41,,,,
"Bruce Wayne Randall",Q1471,9997,193,randallbrucewayne,2018-05-20T20:35:02,,,,
"Bruce Wright",Q1472,1748,198,wrightbruce,2018-05-20T16:21:12,,,nm0942257,
Brull,Q1473,7640,94,brull,2018-04-22T16:17:33,Brull,,,
Brunali,Q1474,5031,122,brunali,2018-05-13T12:23:20,,,,
Brunt,Q1475,8612,94,brunt,2018-04-22T16:17:38,Brunt,,,
"Brunt (specchio)",Q1476,9062,356,mibrunt,2018-05-20T22:01:50,,,,
"Bryan Burk",Q1477,10604,177,burkbryan,2018-05-20T21:13:02,,,nm1333357,
"Bryan Fuller",Q1478,1165,181,fullerbryan,2018-05-20T16:20:54,,,nm0298188,
"Bryan Singer",Q1479,10132,194,singerbryan,2018-05-20T21:13:00,,,,
"Bryan Tyler",Q1480,7165,195,tylerbryan,2018-05-20T17:00:50,,,nm0003911,
Bryma,Q1481,4131,150,bryma,2018-04-22T21:14:30,,,,
Bu'kaH,Q1482,6246,94,bukah,2018-04-22T16:17:28,Bu%27kaH,,,
"Buck Bokai",Q1483,7296,94,bokaibuck,2018-04-22T16:17:33,Buck_Bokai,,,
"Buck Maffei",Q1484,6789,188,maffeibuck,2018-05-20T17:00:42,,,,
"Buco nero",Q1485,5798,203,buconero,2018-05-27T13:13:55,Black_hole_%28beverage%29,"Black hole",,
"Buco nero di classe 4",Q1486,5958,205,buconeroclasse4,2018-05-20T22:01:45,,,,
"Bud Da Vinci",Q1487,6073,179,davincibud,2018-05-20T17:00:29,,,,
"Bud Davis",Q1488,10048,179,davisbud,2018-05-20T20:35:03,,,,
"Budd Albright",Q1489,6759,176,albrightbudd,2018-05-20T17:00:42,,,,
"Buddy Garion",Q1490,7002,182,garionbuddy,2018-05-20T17:00:48,,,,
"Buddy Joe Hooker",Q1491,10070,183,hookerbuddyjoe,2018-05-20T20:35:04,,,,
"Budino delviano",Q1492,10619,204,budinodelviano,2018-05-27T13:43:36,,"Delvin fluff pastries",,
"Budino speziato i'daniano",Q1493,10538,204,budinoidaniano,2018-05-27T13:43:36,,"I'danian spice pudding",,
"Bue rigeliano",Q1494,5984,207,buerigeliano,2018-05-20T22:01:46,,,,
Bullock,Q1495,9390,94,bullock,2018-04-22T16:17:43,Bullock,,,
"Bumper Robinson",Q1496,8629,193,robinsonbumper,2018-05-20T20:34:37,,,,
"Burala Prime",Q1497,4132,150,buralaprime,2018-04-22T21:14:30,,,,
"Burke (burke)",Q1498,8787,94,burke,2018-04-22T16:17:39,Burke_(Chief),,,
"Burke (burkeens)",Q1499,2261,94,burkeens,2018-04-22T16:17:20,Burke_(Ensign),,,
Burleigh,Q1500,9138,215,burleigh,2018-04-22T16:17:41,Lord_Burleigh,,,
"Burr Middleton",Q1501,6585,188,middletonburr,2018-05-20T17:00:38,,,,
"Burro romboliano",Q1502,5942,204,burroromboliano,2018-05-27T13:43:36,,,,
Burrows,Q1503,6657,94,burrows,2018-04-22T16:17:31,Burrows,,,
"Burt Ryan",Q1504,8952,110,ryanburt,2018-04-22T16:17:40,Burt_Ryan,,,
"Burton Armus",Q1505,885,176,armusburton,2018-05-20T16:20:46,,,nm0035953,
Burzaan,Q1506,6251,94,burzaan,2018-04-22T16:17:28,Burzaan,,,
"Business as Usual",Q1507,2495,1,dsn116,2018-04-02T21:04:38,,,,50675.5
Butch,Q1508,9330,94,butch,2018-04-22T16:17:42,Butch,,,
"By Any Other Name",Q1509,2953,18,tos50,2018-04-07T16:50:19,By_Any_Other_Name_%28episode%29,,tt0708422,4657.5
"By Inferno's Light",Q1510,2492,1,dsn113,2018-04-02T21:04:37,,,,50564.2
Byleth,Q1511,8205,94,byleth,2018-04-22T16:17:35,Byleth,,,
Bynaus,Q1512,4033,150,bynaus,2018-04-22T21:14:28,,,,
Byron,Q1513,9356,215,byron,2018-04-22T16:17:42,Lord_Byron,,,
"Byron Morrow",Q1514,1433,188,morrowbyron,2018-05-20T16:21:03,,,nm0607465,
"C. O'Brien",Q1515,6850,190,obrienc,2018-05-20T17:00:44,,,,
"C.J. Bau",Q1516,10049,177,baucj,2018-05-20T20:35:03,,,,
Caatati,Q1517,5029,123,caatati,2018-05-13T12:23:20,,,,
"Cabina di tortura",Q1518,10392,368,cabinatortura,2018-05-20T22:01:54,,"Agony booth",,
Cabot,Q1519,2176,95,cabot,2018-04-22T16:17:20,Cabot,,,
"Caccia (asdomkcaccia)",Q12422,123,227,asdomkcaccia,2018-05-06T13:10:56,,,,
"Caccia (asdomkcaccia01)",Q12437,124,227,asdomkcaccia01,2018-05-06T13:10:57,,,,
"Caccia (asdomkcaccia02)",Q12429,10754,227,asdomkcaccia02,2018-05-06T13:12:03,,,,
"Caccia (asdomkcaccia03)",Q12552,10757,227,asdomkcaccia03,2018-05-06T13:12:03,,,,
"Caccia (asdomkcaccia04)",Q12600,10758,227,asdomkcaccia04,2018-05-06T13:12:03,,,,
"Caccia (asdomkcaccia05)",Q12629,10759,227,asdomkcaccia05,2018-05-06T13:12:04,,,,
"Caesar Belli",Q1520,6286,177,bellicaesar,2018-05-20T17:00:33,,,,
"Café des Artistes",Q1521,5240,208,cafedesartistes,2018-05-27T12:54:30,,,,
Cairn,Q1522,5028,123,cairn,2018-05-13T12:23:20,,,,
"Caithlin Dar",Q1523,10159,96,darcaithlin,2018-04-22T16:17:45,Caithlin_Dar,,,
"Cal Bolder",Q1525,6912,177,boldercal,2018-05-20T17:00:45,,,,
Calamariani,Q1526,5027,123,calamariani,2018-05-13T12:23:20,,,,
"Calder II",Q1527,4133,151,calder2,2018-04-22T21:14:30,,,,
Caldoniani,Q1528,5026,123,caldoniani,2018-05-13T12:23:20,,,,
Caldos,Q1529,4134,151,caldos,2018-04-22T21:14:30,,,,
Calindra,Q1530,5639,334,calindra,2018-05-20T22:01:44,,,,
"Call to Arms",Q1531,2503,1,dsn124,2018-04-02T21:04:38,,,,50941.2
"Call to Arms...",Q1532,4371,50,lidscalltoarms,2018-05-13T12:47:25,,,,
Calla,Q1533,2175,95,calla,2018-04-22T16:17:20,Calla,,,
"Callan White",Q1534,7958,198,whitecallan,2018-05-20T20:34:27,,,,
"Callinon VII",Q1535,10537,151,callinon7,2018-04-22T21:14:32,,,,
"Calvin Hudson",Q1536,8464,100,hudsoncalvin,2018-04-22T16:17:38,Calvin_Hudson,,,
"Calvin Hutchinson",Q1537,8107,100,hutchinsoncalvin,2018-04-22T16:17:35,Calvin_Hutchinson,,,
"Camaleonte calrissiano",Q1539,10789,207,camaleonteclarissiano,2018-05-20T22:01:58,Calrissian_chameleon,"Calrissian chameleon",,
"Cambiamenti tra le stagioni (dsncambiamenti)",Q12528,9100,345,dsncambiamenti,2018-04-07T16:50:26,,,,
"Cambiamenti tra le stagioni (entcambiamenti)",Q12448,7183,320,entcambiamenti,2018-04-07T16:50:23,,,,
"Cambiamenti tra le stagioni (tngcambiamenti)",Q12562,8285,340,tngcambiamenti,2018-04-07T16:50:24,,,,
"Cambiamenti tra le stagioni (toscambiamenti)",Q12435,7149,352,toscambiamenti,2018-05-20T22:01:49,,,,
"Cambiamenti tra le stagioni (voycambiamenti)",Q12482,10292,349,voycambiamenti,2018-04-07T16:50:27,,,,
Cameron,Q1541,5774,202,cameron,2018-05-27T13:08:01,,,,
"Cameron Arnett",Q1542,7933,176,arnettcameron,2018-05-20T20:34:26,,,,
"Cameron Thor",Q1543,8148,195,thorcameron,2018-05-20T20:34:31,,,,
"Camille Saviola",Q1544,1564,194,saviolacamille,2018-05-20T16:21:07,,,nm0767779,
"Camor V",Q1545,4135,151,camor5,2018-04-22T21:14:30,,,,
Campbell,Q1546,393,302,assfkshuttlet6campbell,2018-05-06T13:11:21,Campbell,,,
Campio,Q1547,7902,95,campio,2018-04-22T16:17:35,Campio,,,
"Campo metafasico",Q1548,5189,32,campometafasico,2018-05-20T22:01:42,,"Metaphasic field",,
"Campo minato romulano",Q1549,5101,211,campominatoromulano,2018-05-20T22:01:39,,,,
"Campo psionico",Q1550,5188,32,campopsionico,2018-05-20T22:01:42,,,,
"Campor III",Q1551,10555,151,campor3,2018-04-22T21:14:32,,,,
"Camus II",Q1552,4032,151,camus2,2018-04-22T21:14:28,,,,
Canamar,Q1554,2326,17,ent043,2018-04-08T09:43:25,Canamar_%28episode%29,,tt0572185,
"Canamar (pianeta)",Q12580,4136,151,canamar,2018-04-22T21:14:30,,,,
"Canapés bulariani",Q1555,5943,204,canapesbulariani,2018-05-27T13:43:36,,,,
"Cane beniano",Q1556,10328,207,canebeniano,2018-05-20T22:01:54,,,,
Canopus,Q1557,4031,151,canopus,2018-04-22T21:14:28,,,,
"Cantiere navale Copernicus",Q1558,5693,202,cncopernicus,2018-05-27T13:07:58,,,,
"Cantiere navale Oakland",Q1562,5694,202,oakland,2018-05-27T13:07:58,,,,
"Cantiere navale San Francisco",Q1563,5665,202,cnsanfrancisco,2018-05-27T13:07:57,,,,
"Cantiere navale di Antares IV",Q1560,5691,202,cnantares4,2018-05-27T13:07:58,,,,
"Cantiere navale di Beta Antares",Q1561,5692,202,cnbetaantares,2018-05-27T13:07:58,,,,
"Capella IV",Q1564,4030,151,capella4,2018-04-22T21:14:28,,,,
Capellani,Q1565,5025,123,capellani,2018-05-13T12:23:20,,,,
"Capitano del Merchantman",Q1566,10543,355,capmerchantman,2018-04-22T16:17:48,Merchantman_personnel%23Human_Captain,,,
"Capitano della Saratoga",Q1567,10629,355,capitanosaratoga,2018-04-22T16:17:49,USS_Saratoga_%28NCC-31911%29_personnel,,,
Caprice,Q1568,8701,215,caprice,2018-04-22T16:17:39,Caprice,,,
"Captain's Holiday",Q1569,2621,21,tng067,2018-04-02T21:04:41,,,,43745.2
"Captains' Logs",Q1570,4405,56,sacaptainslogs,2018-05-20T22:01:37,,,,
"Captains' Logs Supplemental",Q1571,4406,56,sacaptainslogssup,2018-05-20T22:01:37,,,,
"Captive Pursuit",Q1572,2386,1,dsn006,2018-04-02T21:04:34,Captive_Pursuit,,,46477.5
"Carbon Creek",Q1573,2311,17,ent028,2018-04-08T09:43:24,Carbon_Creek_%28episode%29,,tt0572186,
Cardassia,Q1574,4029,151,cardassia,2018-04-22T21:14:28,,"Cardassia Prime",,
"Cardassia III",Q1575,10572,151,cardassia3,2018-04-22T21:14:32,,,,
"Cardassia IV",Q1576,4137,151,cardassia4,2018-04-22T21:14:30,Cardassia_IV,,,
"Cardassia V",Q1577,10492,151,cardassia5,2018-04-22T21:14:32,,,,
"Cardassian Sauna",Q1578,5241,208,cardassiansauna,2018-05-27T12:54:30,,,,
Cardassiani,Q1579,5024,123,cardassiani,2018-05-13T12:23:20,,,,
Cardassians,Q1580,2405,1,dsn025,2018-04-02T21:04:34,Cardassians_%28episode%29,,tt0708514,"47177.2,47178.3"
"Carel Struycken",Q1581,1630,194,struyckencarel,2018-05-20T16:21:09,,,nm0835393,
"Carema III",Q1582,4138,151,carema3,2018-04-22T21:14:30,,,,
Caretaker,Q1584,2733,22,voy001,2018-04-02T21:04:46,,,,48315.6
"Caretaker (romanzo)",Q12493,4623,54,livocaretaker,2018-05-13T12:47:33,,,,
"Carey Loftin",Q1585,6863,187,loftincarey,2018-05-20T17:00:45,,,,
"Carey Wilber",Q1586,7123,198,wilbercarey,2018-05-20T17:00:49,,,,
"Cargo (asbajortra01)",Q12517,34,14,asbajortra01,2018-05-06T13:10:46,,,,
"Cargo (asbajortra02)",Q12468,40,14,asbajortra02,2018-05-06T13:10:47,,,,
"Cargo (asbajortra03)",Q12431,41,14,asbajortra03,2018-05-06T13:10:47,,,,
"Cargo (ascardtrasporto)",Q12523,84,36,ascardtrasporto,2018-05-06T13:10:52,,,,
"Cargo (bajcargo04)",Q12574,43,14,bajcargo04,2018-05-06T13:10:47,,,,
"Cargo di Jaheel",Q1587,10432,46,cargojaheel,2018-05-06T13:11:58,,,,
"Cargo tarkaliano",Q1588,761,46,astarkaliano1,2018-05-06T13:11:47,,,,
"Cari Shayne",Q1589,9290,194,shaynecari,2018-05-20T20:34:49,,,,
"Carica nucleonica",Q1590,5215,211,caricanucleonica,2018-05-20T22:01:43,,,,
"Carl Byrd",Q1591,7010,177,byrdcarl,2018-05-20T17:00:48,,,,
"Carl Saxe",Q1592,6906,194,saxecarl,2018-05-20T17:00:45,,,,
"Carl Steven",Q1593,9931,194,stevencarl,2018-05-20T20:34:59,,,,
"Carl Torres",Q1594,9708,112,torrescarl,2018-04-22T16:17:44,Carl_Torres,,,
"Carl Zeemo",Q1595,9067,215,zeemocarl,2018-04-22T16:17:41,Carl_Zeemo,,,
"Carleton Eastlake",Q1596,9828,180,eastlakecarleton,2018-05-20T20:34:57,,,nm0247613,
Carlisle,Q1597,7047,95,carlisle,2018-04-22T16:17:32,Carlisle,,,
"Carlo Borriello",Q1598,4638,177,borriellocarlo,2018-05-20T16:21:14,,,,
Carlos,Q1599,6214,95,carlos,2018-04-22T16:17:28,Carlos_(student),,,
"Carlos Carrasco",Q1600,998,178,carrascocarlos,2018-05-20T16:20:49,,,nm0140033,
"Carlos Cestero",Q1601,10005,178,cesterocarlos,2018-05-20T20:35:02,,,,
"Carlos Ferro",Q1602,8186,181,ferrocarlos,2018-05-20T20:34:32,,,,
"Carlos LaCamara",Q1603,8658,187,lacamaracarlos,2018-05-20T20:34:38,,,,
"Carlos Mota",Q1604,10454,188,motacarlos,2018-05-20T21:13:01,,,,
"Carlos Palomino",Q1605,9448,191,palominocarlos,2018-05-20T20:34:50,,,,
"Carlos Ramirez",Q1606,6457,110,ramirez,2018-04-22T16:17:30,Carlos_Ramirez,,,
"Carly Thomas",Q1607,6358,195,thomascarly,2018-05-20T17:00:34,,,,
"Carmen Carter",Q1608,4701,178,cartercarmen,2018-05-20T17:00:27,,,,
"Carmen Davila",Q1609,7865,96,davilacarmen,2018-04-22T16:17:34,Carmen_Davila,,,
Carmichael,Q1610,8064,95,carmichael,2018-04-22T16:17:35,Carmichael,,,
Carmine,Q1611,6638,95,carmine,2018-04-22T16:17:31,Carmine,,,
"Carne di zabu",Q1612,5944,204,carnezabu,2018-05-27T13:43:36,,,,
"Carol Daniels Derment",Q1613,6030,179,dermentcarold,2018-05-20T17:00:29,,,,
"Carol Krnic",Q1614,9754,186,krniccarol,2018-05-20T20:34:55,,,,
"Carol Marcus",Q1615,10139,105,marcuscarol,2018-04-22T16:17:45,Carol_Marcus,,,
"Carole Davis",Q1616,9264,179,daviscarole,2018-05-20T20:34:48,,,,
"Carole Shelyne",Q1617,6813,194,shelynecarole,2018-05-20T17:00:43,,,,
"Caroline Junko King",Q1618,8020,185,junkokingcaroline,2018-05-20T20:34:29,,,,
"Caroline Kava",Q1619,7956,186,kavacaroline,2018-05-20T20:34:27,,,,
"Caroline Lagerfelt",Q1620,8534,187,legerfeltcaroline,2018-05-20T20:34:36,,,,
"Carolyn Allport",Q1621,7227,176,allportcarolyn,2018-05-20T17:00:52,,,,
"Carolyn Clowes",Q1622,4729,178,clowescarolyn,2018-05-20T17:00:28,,,,
"Carolyn McCormick",Q1623,1389,188,mccormickcarolyn,2018-05-20T16:21:01,,,nm0566509,
"Carolyn Nelson",Q1624,6952,189,nelsoncarolyn,2018-05-20T17:00:46,,,,
"Carolyn Palamas",Q1625,3191,108,palamascarolyn,2018-04-22T16:17:25,Carolyn_Palamas,,,
"Carolyn Seymour",Q1626,1582,194,seymourcarolyn,2018-05-20T16:21:07,,,nm0786809,
"Carolyne Barry",Q1627,7242,177,barrycarolyne,2018-05-20T17:00:52,,,,
"Carpenter Street",Q1628,2346,17,ent063,2018-04-08T09:43:25,Carpenter_Street_%28episode%29,,tt0572187,
"Carrie Stauber",Q1629,1621,194,staubercarrie,2018-05-20T16:21:09,,,nm0823874,
Carson,Q1630,2267,95,carson,2018-04-22T16:17:20,Carson_(Ensign),,,
Carstairs,Q1631,2268,95,carstairs,2018-04-22T16:17:20,Carstairs_(geologist),,,
Carter,Q1632,2269,95,carter,2018-04-22T16:17:20,Carter,,,
Cartwright,Q1633,10152,95,cartwright,2018-04-22T16:17:45,Cartwright,,,
"Cary Hiroyuki",Q1634,7192,183,hiroyukicary,2018-05-20T17:00:51,,,,
"Cascata di metreoni",Q1635,5202,211,metreoni,2018-05-20T22:01:42,,,,
Casey,Q1636,2270,95,casey,2018-04-22T16:17:20,Casey_(security),,,
"Casey Biggs",Q1637,927,177,biggscasey,2018-05-20T16:20:47,,,nm0081827,
"Casperia Prime",Q1638,4028,151,casperiaprime,2018-04-22T21:14:28,,,,
Cassandra,Q1639,8447,95,cassandra,2018-04-22T16:17:38,Cassandra_(Human),,,
"Cassandra (Phase II)",Q1640,3007,20,phase203,2018-04-30T09:57:21,,,,
"Cassandra Bryam",Q1641,8289,177,bryamcassandra,2018-05-20T20:34:33,,,,
Cassie,Q1642,8954,95,cassie,2018-04-22T16:17:40,Cassie,,,
"Cast regolare (dsncast)",Q1643,9095,345,dsncast,2018-04-07T16:50:25,,,,
"Cast regolare (entcast)",Q1644,7179,320,entcast,2018-04-07T16:50:23,,,,
"Cast regolare (tascast)",Q1645,10595,325,tascast,2018-04-30T09:57:24,,,,
"Cast regolare (tngcast)",Q12588,8276,340,tngcast,2018-04-07T16:50:24,,,,
"Cast regolare (toscast)",Q1646,7143,352,toscast,2018-05-20T22:01:48,,,,
"Cast regolare (voycast)",Q1647,9833,349,voycast,2018-04-07T16:50:26,,,,
Casters,Q1648,2271,95,casters,2018-04-22T16:17:20,,,,
"Castulo Guerra",Q1649,7564,182,guerracastulo,2018-05-20T17:00:58,,,,
"Catherine Hicks",Q1650,9959,183,hickscatherine,2018-05-20T20:35:00,,,,
"Catherine MacNeal",Q1651,9128,188,macnealcatherine,2018-05-20T20:34:46,,,,
Cathexis,Q1652,2744,22,voy013,2018-04-02T21:04:46,,,,48734.2
"Cathie Shirriff",Q1653,9947,194,shirriffcathie,2018-05-20T20:35:00,,,,
"Cathy DeBuono",Q1654,9038,179,debuonocathy,2018-05-20T20:34:45,,,nm0213583,
Catspaw,Q1655,2933,18,tos30,2018-04-07T16:50:17,,,tt0708423,3018.2
Catualla,Q1656,4027,151,catualla,2018-04-22T21:14:28,,,,
"Cause and Effect",Q1657,2672,21,tng118,2018-04-02T21:04:43,,,,45652.1
"Caves of Kahless",Q1658,5242,208,cavesofkahless,2018-05-27T12:54:30,,,,
Cavit,Q1659,2173,95,cavit,2018-04-22T16:17:20,Cavit,,,
Caylem,Q1660,9216,95,caylem,2018-04-22T16:17:42,Caylem,,,
"Cease Fire",Q1661,2324,17,ent041,2018-04-02T21:04:29,,,,
"Cecile Callan",Q1662,9118,178,callancecile,2018-05-20T20:34:45,,,,
"Cecily Adams",Q1663,865,176,adamscecily,2018-05-20T16:20:45,,,nm0010820,
"Celeste Yarnall",Q1664,6939,200,yarnallceleste,2018-05-20T17:00:46,,,,
"Celia Lovsky",Q1665,6916,187,lovskycelia,2018-05-20T17:00:45,,,,
"Celtris III",Q1666,4139,151,celtris3,2018-04-22T21:14:30,,,,
"Cerebus II",Q1667,4026,151,cerebus2,2018-04-22T21:14:28,,,,
Ceris,Q1668,6550,95,ceris,2018-04-22T16:17:31,Ceris,,,
Cervalina,Q1669,3696,58,cervalina,2018-05-20T22:01:34,,,,
"Cestus III",Q1670,4025,151,cestus3,2018-04-22T21:14:28,,,,
"Ceti Alfa V",Q1671,4024,151,cetialfa5,2018-04-22T21:14:28,Ceti_Alpha_V,"Ceti Alpha V",,
"Ceti Alfa VI",Q1672,4023,151,cetialfa6,2018-04-22T21:14:28,,,,
Ch'Pok,Q1673,8717,95,chpok,2018-04-22T16:17:39,Ch%27Pok,,,
Ch'Rega,Q1674,2163,95,chrega,2018-04-22T16:17:19,Ch%27Rega,,,
Ch'Targh,Q1675,8924,95,chtargh,2018-04-22T16:17:39,Ch%27Targh,,,
"Chad Allen",Q1676,7773,176,allenchad,2018-05-20T17:01:00,,,,
"Chad Halyard",Q1677,9767,183,halyardchad,2018-05-20T20:34:55,,,,
"Chad Haywood",Q1678,9302,183,haywoodchad,2018-05-20T20:34:49,,,,
Chadwick,Q1679,8956,95,chadwick,2018-04-22T16:17:40,Chadwick,,,
Chaffee,Q1680,445,306,assfkshuttlet10chaffee,2018-05-06T13:11:27,Chaffee,,,
"Chain of Attack",Q1681,4507,53,litochainattack,2018-05-13T12:47:28,,,,
"Chain of Command - Part I",Q1682,2690,21,tng136,2018-04-02T21:04:44,,,,46357.1
"Chain of Command - Part II",Q1683,2691,21,tng137,2018-04-02T21:04:44,,,,46360.8
Chakotay,Q1684,2172,95,chakotay,2018-04-22T16:17:20,Chakotay,,,
"Chakotay Training Program 15-beta",Q1685,5243,208,chakotay15b,2018-05-27T12:54:30,,,,
"Chalan Aroya",Q1686,8734,95,chalanaroya,2018-04-22T16:17:39,Chalan_Aroya,,,
Chalna,Q1687,4140,151,chalna,2018-04-22T21:14:30,,,,
Chalnoth,Q1688,5023,123,chalnoth,2018-05-13T12:23:20,,,,
"Chaltok IV",Q1689,4022,151,chaltok4,2018-04-22T21:14:28,,,,
"Champagne kandora",Q1690,10551,203,champagnekandora,2018-05-27T13:13:57,,"Kandora champagne",,
"Champs Elysees",Q1691,5244,208,champselysees,2018-05-27T12:54:30,,,,
Chandler,Q1692,8965,215,chandler,2018-04-22T16:17:40,Chandler,,,
"Chandra (chandra)",Q1693,2171,95,chandra,2018-04-22T16:17:20,Chandra_(Captain),,,
"Chandra (chandra1)",Q1694,10290,95,chandra1,2018-04-22T16:17:47,,,,
"Chandra V",Q1695,4021,151,chandra5,2018-04-22T21:14:28,,,,
"Chang (chang)",Q1696,10174,95,chang,2018-04-22T16:17:46,Chang_(General),,,
"Chang (changlt)",Q1697,2170,95,changlt,2018-04-22T16:17:19,Chang_(Tac_Officer),,,
"Chang (changmaco)",Q1698,2272,95,changmaco,2018-04-22T16:17:21,Chang_(Corporal),,,
"Change of Heart",Q1699,2519,1,dsn140,2018-04-02T21:04:38,,,,51597.2
Channing,Q1700,2169,95,channing,2018-04-22T16:17:19,Channing,,,
"Chantal R. Zaheva",Q10445,7749,118,zahevachantal,2018-04-22T16:17:34,Chantal_Zaheva,,,
Chaotica,Q1702,9385,215,chaotica,2018-04-22T16:17:42,Chaotica,,,
Chapman,Q1703,10325,95,chapmanprof,2018-04-22T16:17:47,Chapman_(Professor),,,
Chardis,Q1704,9325,95,chardis,2018-04-22T16:17:42,Chardis,,,
Charlene,Q1705,9368,215,charlene,2018-04-22T16:17:42,Charlene,,,
"Charlene Masters",Q1706,1995,105,masterscharlene,2018-04-22T16:17:15,Charlene_Masters,,,
"Charlene Polite",Q1707,6055,191,politecharlene,2018-05-20T17:00:29,,,,
"Charles Beck",Q1708,6316,177,beckcharles,2018-05-20T17:00:33,,,,
"Charles Cooper",Q1709,1042,178,coopercharles,2018-05-20T16:20:51,,,nm0177927,
"Charles Dayton",Q1710,7209,179,daytoncharles,2018-05-20T17:00:51,,,,
