"Titolo pagina","DataTrek Item",HTPaginaID,HTSezioneID,HTPaginaTag,HTPaginaElaboarata,HTMAPage,HTOriginale,HTimdbID,"Data stellare"
Thalen,Q9034,6556,112,thalen,2018-04-22T16:17:31,Thalen,,,
Thalmerite,Q9035,5218,211,thalmerite,2018-05-20T22:01:43,,,,
"Thalmus Rasulala",Q9036,7420,193,rasulalathalmus,2018-05-20T17:00:55,,,,
Thalos,Q9037,5654,334,thalos,2018-05-20T22:01:45,,,,
"Thalos VII",Q9038,3820,168,thalos7,2018-04-22T21:14:26,,,,
"Thanatos VII",Q9039,4319,168,thanatos7,2018-04-22T21:14:30,,,,
Thann,Q9040,6141,112,thann,2018-04-22T16:17:28,Thann,,,
Tharn,Q9041,7052,112,tharn,2018-04-22T16:17:32,Tharn,,,
Thasiani,Q9042,4812,140,thasiani,2018-05-13T12:23:12,,,,
Thasus,Q9043,3819,168,thasus,2018-04-22T21:14:26,,,,
"That Which Survives",Q9045,2972,18,tos69,2018-04-07T16:50:20,That_Which_Survives,,tt0708450,
"The 37's",Q9046,2748,22,voy017,2018-04-02T21:04:46,,,,48975.1
"The Abandoned",Q9047,2432,1,dsn052,2018-04-02T21:04:35,,,,
"The Abode of Life",Q9048,4501,53,litoabode,2018-05-13T12:47:28,,,,
"The Adventures of Flotter",Q9050,5223,208,flotter,2018-05-27T12:54:29,,,,
"The Adversary",Q9051,2452,1,dsn072,2018-04-02T21:04:36,,,,48959.1
"The Aenar",Q9052,2373,17,ent090,2018-04-02T21:04:32,,,,
"The Alternate",Q9053,2412,1,dsn032,2018-04-02T21:04:35,,,,47391.7
"The Alternative Factor",Q9054,2923,18,tos20,2018-04-07T16:50:16,The_Alternative_Factor_%28episode%29,,tt0708451,3087.6
"The Ambergris Element",Q9055,2994,19,tas13,2018-04-30T09:57:20,,,,5499.9
"The Andorian Incident",Q9056,2290,17,ent007,2018-04-02T21:04:28,,,,
"The Apple",Q9057,2941,18,tos38,2018-04-07T16:50:17,,,tt0708452,3715.3
"The Arsenal of Freedom",Q9058,2575,21,tng021,2018-04-02T21:04:40,,,,41798.2
"The Art of Star Trek",Q9059,4404,56,saart,2018-05-20T22:01:37,,,,
"The Ascent",Q9060,2486,1,dsn107,2018-04-02T21:04:37,,,,50245.5
"The Ashes of Eden (ashesofeden)",Q9061,10458,363,ashesofeden,2018-05-20T22:01:56,,,,
"The Ashes of Eden (litoasheseden)",Q9062,4502,53,litoasheseden,2018-05-13T12:47:28,,,,
"The Assignment",Q9063,2482,1,dsn103,2018-04-02T21:04:37,,,,50124.3
"The Augments",Q9064,2365,17,ent082,2018-04-02T21:04:32,,,,
"The Battle",Q9065,2563,21,tng009,2018-04-02T21:04:40,The_Battle,,,41723.9
"The Battle of Betazed",Q9066,4469,52,litnbattlebetazed,2018-05-13T12:47:26,,,,
"The Begotten",Q9067,2489,1,dsn110,2018-04-02T21:04:37,,,,50430.1
"The Best of Both Worlds - Part I",Q9068,2628,21,tng074,2018-04-02T21:04:42,,,,43989.1
"The Best of Both Worlds - Part II",Q9069,2629,21,tng075,2018-04-02T21:04:42,,,,44001.4
"The Big Game",Q9070,4370,50,lidsbiggame,2018-05-13T12:47:25,,,,
"The Big Goodbye",Q9071,2566,21,tng012,2018-04-02T21:04:40,,,,41997.7
"The Bonding",Q9072,2607,21,tng053,2018-04-02T21:04:41,,,,43198.7
"The Breach",Q9073,2330,17,ent047,2018-04-02T21:04:29,,,,
"The Cage",Q37,2904,18,tos01,2018-04-07T16:50:13,The_Cage_%28episode%29,,tt0059753,
"The Catwalk",Q9077,2321,17,ent038,2018-04-02T21:04:29,The_Catwalk_%28episode%29,,tt0572250,
"The Changeling",Q9078,2940,18,tos37,2018-04-07T16:50:17,,,tt0708454,3541.9
"The Changing Face of Evil",Q9079,2549,1,dsn170,2018-04-02T21:04:39,,,,
"The Chase",Q9080,2700,21,tng146,2018-04-02T21:04:45,,,,46731.5
"The Child",Q9082,2581,21,tng027,2018-04-02T21:04:40,The_Child_%28episode%29,,tt0708790,42073.1
"The Child (Phase II)",Q9081,3018,20,phase214,2018-04-30T09:57:22,,,,
"The Children of Hamlin",Q9083,4470,52,litnchildrenhamlin,2018-05-13T12:47:26,,,,
"The Chute",Q9084,2776,22,voy045,2018-04-02T21:04:48,,,,50156.2
"The Circle",Q9085,2402,1,dsn022,2018-04-02T21:04:34,The_Circle_%28episode%29,,tt0708618,47125.7
"The City on the Edge of Forever",Q9086,2931,18,tos28,2018-04-07T16:50:17,,,tt0708455,3134.0
"The Cloud",Q9087,2737,22,voy006,2018-04-02T21:04:46,,,,48546.2
"The Cloud Minders",Q9088,2977,18,tos74,2018-04-07T16:50:20,The_Cloud_Minders,,tt0708456,5818.4
"The Collaborator",Q9089,2424,1,dsn044,2018-04-02T21:04:35,,,,47921.5
"The Communicator",Q9090,2317,17,ent034,2018-04-02T21:04:29,,,,
"The Complete The Next Generation",Q9091,4408,56,sacompletetng,2018-05-20T22:01:38,,,,
"The Completely Useless Star Trek Encyclopedia",Q9092,4461,56,sauselessency,2018-05-20T22:01:39,,,,
"The Computers of Star Trek",Q9093,4409,56,sacomputers,2018-05-20T22:01:38,,,,
"The Conscience of the King",Q9094,2916,18,tos13,2018-04-07T16:50:15,,,tt0394903,2817.6
"The Corbomite Maneuver",Q9095,2906,18,tos03,2018-04-07T16:50:14,The_Corbomite_Maneuver_%28episode%29,,tt0708458,1512.2
"The Council",Q9096,2357,17,ent074,2018-04-02T21:04:31,,,,
"The Counter-Clock Incident",Q9097,3004,19,tas23,2018-04-30T09:57:21,,,,6770.3
"The Covenant of the Crown",Q9098,4509,53,litocovenantcrown,2018-05-13T12:47:28,,,,
"The Crossing",Q9099,2327,17,ent044,2018-04-02T21:04:29,,,,
"The Cry of the Onlies",Q9100,4511,53,litocryonlies,2018-05-13T12:47:28,,,,
"The Darkness and the Light",Q9101,2488,1,dsn109,2018-04-02T21:04:37,The_Darkness_and_the_Light,,,50416.2
"The Dauphin",Q9102,2590,21,tng036,2018-04-02T21:04:41,,,,42568.8
"The Deadly Years",Q9103,2943,18,tos40,2018-04-07T16:50:18,The_Deadly_Years,,tt0708459,3478.2
"The Defector",Q9104,2612,21,tng058,2018-04-02T21:04:41,The_Defector,,,43462.5
"The Definitive Star Trek Trivia Book",Q9105,10407,56,deftriviabook1,2018-05-20T22:01:56,,,,
"The Definitive Star Trek Trivia Book - Volume II",Q9106,10408,56,deftriviabook2,2018-05-20T22:01:56,,,,
"The Devil in the Dark",Q9107,2929,18,tos26,2018-04-07T16:50:16,The_Devil_in_the_Dark,,tt0708460,3196.1
"The Devil's Heart",Q9108,4474,52,litndevilheart,2018-05-13T12:47:27,,,,
"The Die is Cast",Q9109,2447,1,dsn067,2018-04-02T21:04:36,,,,
"The Disease",Q9110,2842,22,voy111,2018-04-02T21:04:50,,,,
"The Disinherited",Q9111,4518,53,litodisinherited,2018-05-13T12:47:29,,,,
"The Dogs of War",Q9112,2553,1,dsn174,2018-04-02T21:04:39,,,,52861.3
"The Doomsday Machine",Q9113,2938,18,tos35,2018-04-07T16:50:17,,,tt0708461,4202.9
"The Drumhead",Q9114,2649,21,tng095,2018-04-02T21:04:43,,,,44769.2
"The Emissary",Q9115,2600,21,tng046,2018-04-02T21:04:41,,,,42901.3
"The Empath",Q9116,2966,18,tos63,2018-04-07T16:50:20,,,tt0708462,5121.5
"The Emperor's New Cloak",Q9117,2541,1,dsn162,2018-04-02T21:04:39,The_Emperor%27s_New_Cloak_%28episode%29,,tt0708623,
"The Enemy",Q9119,2609,21,tng055,2018-04-02T21:04:41,,,,43349.2
"The Enemy Within",Q9120,2908,18,tos05,2018-04-07T16:50:14,The_Enemy_Within_%28episode%29,,tt0708463,1672.1
"The Ensigns of Command",Q9121,2604,21,tng050,2018-04-02T21:04:41,,,,43133.3
"The Enterprise Incident",Q9122,2962,18,tos59,2018-04-07T16:50:20,The_Enterprise_Incident_%28episode%29,,tt0708464,5027.3
"The Entropy Effect",Q9123,4526,53,litoentropyeffect,2018-05-13T12:47:29,,,,
"The Escape",Q9124,4625,54,livoescape,2018-05-13T12:47:33,,,,
"The Ethics of Star Trek",Q9126,4417,56,saethics,2018-05-20T22:01:38,,,,
"The Expanse",Q9127,2335,17,ent052,2018-04-02T21:04:30,The_Expanse_%28episode%29,,tt0572254,
"The Expanse (lienexpanse)",Q9128,4381,51,lienexpanse,2018-05-13T12:47:26,,,,
"The Eye of the Beholder",Q9129,2997,19,tas16,2018-04-30T09:57:20,,,,5501.2
"The Fate of the Phoenix",Q9130,4528,53,litofatephoenix,2018-05-13T12:47:29,,,,
"The Federation (gdrfasafederation)",Q9131,4385,57,gdrfasafederation,2018-05-20T22:01:37,,,,
"The Federation (gdrtfgfederation)",Q9132,4399,57,gdrtfgfederation,2018-05-20T22:01:37,,,,
"The Fight",Q9133,2844,22,voy113,2018-04-02T21:04:50,,,,
"The Final Fury",Q28,4630,54,livoinvasion,2018-05-13T12:47:33,,,,
"The Final Nexus",Q9134,4536,53,litofinalnexus,2018-05-13T12:47:30,,,,
"The First Duty",Q9135,2673,21,tng119,2018-04-02T21:04:43,,,,45703.9
"The First Line Starfleet Intelligence Handbook",Q9136,4397,57,gdrlusfintel,2018-05-20T22:01:37,,,,
"The Forge",Q9137,2366,17,ent083,2018-04-02T21:04:32,,,,
"The Forgotten",Q9138,2355,17,ent072,2018-04-02T21:04:31,The_Forgotten_%28episode%29,,tt0572256,
"The Forsaken",Q9139,2397,1,dsn017,2018-04-02T21:04:34,The_Forsaken,,,46925.1
"The Galactic Whirlpool",Q9140,4541,53,litogalacticwhirpool,2018-05-13T12:47:30,,,,
"The Galileo Seven",Q9141,2917,18,tos14,2018-04-07T16:50:15,,,tt0708465,2821.5
"The Game",Q9142,2660,21,tng106,2018-04-02T21:04:43,The_Game,,,"45208.2,45212.1"
"The Gamesters of Triskelion",Q9143,2949,18,tos46,2018-04-07T16:50:18,The_Gamesters_of_Triskelion,,tt0708466,3211.7
"The Gift",Q9144,2801,22,voy070,2018-04-02T21:04:48,,,,
"The Great Starship Race",Q9146,4543,53,litogreatstarshiprace,2018-05-13T12:47:30,,,,
"The Haunting of Deck Twelve",Q9147,2876,22,voy145,2018-04-02T21:04:52,,,,
"The High Ground",Q9148,2614,21,tng060,2018-04-02T21:04:41,,,,43510.7
"The Homecoming",Q9149,2401,1,dsn021,2018-04-02T21:04:34,The_Homecoming_%28episode%29,,tt0708625,47101.2
"The Host",Q9150,2651,21,tng097,2018-04-02T21:04:43,,,,44821.3
"The House of Quark",Q9151,2429,1,dsn049,2018-04-02T21:04:35,The_House_of_Quark,,tt0708626,
"The Hunted",Q9152,2613,21,tng059,2018-04-02T21:04:41,,,,43489.2
"The IDIC Epidemic",Q9154,4547,53,litoidicepidemic,2018-05-13T12:47:30,,,,
"The Icarus Factor",Q9153,2594,21,tng040,2018-04-02T21:04:41,The_Icarus_Factor_%28episode%29,,,42686.4
"The Immunity Syndrome",Q9155,2951,18,tos48,2018-04-07T16:50:19,The_Immunity_Syndrome,,tt0708467,4307.1
"The Infinite Vulcan",Q9157,2984,19,tas02,2018-04-30T09:57:19,The_Infinite_Vulcan,,,5554.4
"The Inner Light",Q9158,2679,21,tng125,2018-04-02T21:04:44,,,,45944.1
"The Jem'Hadar",Q9159,2426,1,dsn046,2018-04-02T21:04:35,The_Jem%27Hadar,,tt0708627,47987.5
"The Jihad",Q9160,2995,19,tas14,2018-04-30T09:57:20,,,,5683.2
"The Joy of Trek",Q9161,4422,56,sajoytrek,2018-05-20T22:01:38,,,,
"The Killing Game - Part I",Q9162,2817,22,voy086,2018-04-02T21:04:49,,,,
"The Killing Game - Part II",Q9163,2818,22,voy087,2018-04-02T21:04:50,,,,51715.2
"The Killing Time",Q9164,4551,53,litokillingtime,2018-05-13T12:47:30,,,,
"The Klingon Dictionary",Q9165,4423,56,saklingondict,2018-05-20T22:01:38,,,,
"The Klingon Gambit",Q9166,4552,53,litoklingongambit,2018-05-13T12:47:30,,,,
"The Kobayashi Maru",Q9167,4553,53,litokobayashimaru,2018-05-13T12:47:30,,,,
"The Last Outpost",Q9169,2559,21,tng005,2018-04-02T21:04:39,,,,41386.4
"The Lights of Zetar",Q9170,2976,18,tos73,2018-04-07T16:50:20,The_Lights_of_Zetar,,tt0708468,5725.3
"The Lorelei Signal",Q9171,2988,19,tas06,2018-04-30T09:57:20,,,,5483.7
"The Loss",Q9172,2638,21,tng084,2018-04-02T21:04:42,,,,44356.9
"The Lost Years",Q9173,4565,53,litolostyears,2018-05-13T12:47:31,,,,
"The Magicks of Megas-Tu",Q9174,2991,19,tas09,2018-04-30T09:57:20,The_Magicks_of_Megas-Tu,,tt0832424,1254.4
"The Magnificent Ferengi",Q9175,2513,1,dsn134,2018-04-02T21:04:38,,,,
"The Making of Star Trek",Q9176,4430,56,samakingtrek,2018-05-20T22:01:38,,,,
"The Making of Star Trek Deep Space Nine",Q9177,4427,56,samakingdsn,2018-05-20T22:01:38,,,,
"The Making of Star Trek First Contact",Q9178,4428,56,samakingfc,2018-05-20T22:01:38,,,,
"The Making of the Trek Films",Q9179,4429,56,samakingfilms,2018-05-20T22:01:38,,,,
"The Man Trap",Q9180,2909,18,tos06,2018-04-07T16:50:14,The_Man_Trap_%28episode%29,,tt0708469,1513.1
"The Maquis - Part I",Q9181,2420,1,dsn040,2018-04-02T21:04:35,The_Maquis%2C_Part_I_%28episode%29,,tt0708629,47802.3
"The Maquis - Part II",Q9182,2421,1,dsn041,2018-04-02T21:04:35,The_Maquis%2C_Part_II_%28episode%29,,tt0708630,47805.1
"The Mark of Gideon",Q9183,2975,18,tos72,2018-04-07T16:50:20,,,tt0708470,5423.4
"The Masterpiece Society",Q9184,2667,21,tng113,2018-04-02T21:04:43,The_Masterpiece_Society,,,45470.1
