"Titolo pagina","DataTrek Item",HTPaginaID,HTSezioneID,HTPaginaTag,HTPaginaElaboarata,HTMAPage,HTOriginale,HTimdbID,"Data stellare"
"'Doc' Fitzgerald",Q119,9672,215,fitzgeralddoc,2018-04-22T16:17:44,Fitzgerald_%28hologram%29,,,
"'Til Death Do Us Part",Q120,2547,1,dsn168,2018-04-02T21:04:39,,,,
"'aucdet IX",Q118,4096,149,aucdet9,2018-04-22T21:14:29,%27aucdet_IX,,,
00,Q121,7299,350,00,2018-04-22T16:17:33,,,,
01,Q122,7300,350,01,2018-04-22T16:17:33,,,,
0413-Theta,Q123,10525,356,0413theta,2018-05-20T22:01:57,,,,
10,Q124,7301,350,10,2018-04-22T16:17:33,,,,
10026,Q125,5088,120,10026,2018-05-13T12:23:22,,,,
11,Q126,7302,350,11,2018-04-22T16:17:33,,,,
11001001,Q109,2569,21,tng015,2018-04-02T21:04:40,11001001,,/www.imdb.com/title/tt0708668,41365.9
116,Q155,5087,120,116,2018-05-13T12:23:22,,,,
11:59,Q127,2848,22,voy117,2018-04-08T09:43:27,11%3A59,,/www.imdb.com/title/tt0708846,
125,Q128,5086,120,125,2018-05-13T12:23:22,,,,
149,Q129,5085,120,149,2018-05-13T12:23:22,,,,
"150 caccia del Dominio",Q130,10752,227,asdomk150caccia,2018-05-06T13:12:02,,,,
1865-Alfa,Q131,3960,148,1865a,2018-04-22T21:14:28,,,,
"1st Lt. Donald W. Zautcke, USMC",Q132,9981,201,zautckedonaldw,2018-05-20T20:35:01,,,,
"1st Sgt Joseph Naradzay, USMC",Q133,9972,189,naradzayhoseph,2018-05-20T20:35:01,,,,
"2063 (specchio)",Q134,10243,360,mittt2063,2018-05-20T22:01:51,,,,
"2155 (specchio)",Q135,10244,360,mittt2155,2018-05-20T22:01:51,,,,
"2267 (specchio)",Q136,10245,360,mittt2267,2018-05-20T22:01:51,,,,
"2370 (specchio)",Q137,10246,360,mittt2370,2018-05-20T22:01:51,,,,
"2371 (specchio)",Q138,10247,360,mittt2371,2018-05-20T22:01:51,,,,
"2372 (specchio)",Q139,10248,360,mittt2372,2018-05-20T22:01:51,,,,
"2375 (specchio)",Q140,10683,360,mittt2375,2018-05-20T22:01:58,,,,
259,Q141,5084,120,259,2018-05-13T12:23:22,,,,
262,Q142,5083,120,262,2018-05-13T12:23:22,,,,
263,Q143,5082,120,263,2018-05-13T12:23:22,,,,
312,Q144,5081,120,312,2018-05-13T12:23:22,,,,
5174,Q146,5079,120,5174,2018-05-13T12:23:22,,,,
571,Q147,5078,120,571,2018-05-13T12:23:22,,,,
5973,Q148,5077,120,5973,2018-05-13T12:23:22,,,,
6263,Q149,9219,350,6263,2018-04-22T16:17:42,,,,
6339,Q150,5076,120,6339,2018-05-13T12:23:22,,,,
8472,Q151,5075,120,8472,2018-05-13T12:23:22,,,,
"892 IV",Q152,4094,148,8924,2018-04-22T21:14:29,,,,
"A Christmas Carol",Q153,5247,208,achristmascarol,2018-05-27T12:54:31,,,,
"A Fistful of Datas",Q110,2688,21,tng134,2018-04-02T21:04:44,,,,46271.5
"A Flag full of Stars",Q111,4539,53,litoflagfullstars,2018-05-13T12:47:30,,,,
"A Man Alone",Q112,2383,1,dsn003,2018-04-02T21:04:33,,,,46421.5
"A Matter of Honor",Q113,2588,21,tng034,2018-04-02T21:04:41,,,,42506.5
"A Matter of Perspective",Q114,2616,21,tng062,2018-04-02T21:04:41,,,,43610.4
"A Matter of Time",Q115,2663,21,tng109,2018-04-02T21:04:43,A_Matter_of_Time,,,"45349.1,45350.3"
"A Night in Sickbay",Q116,2314,17,ent031,2018-04-02T21:04:29,,,,
"A Piece of the Action",Q117,2952,18,tos49,2018-04-07T16:50:19,,,tt0708412,4598.0
"A Private Little War",Q156,2948,18,tos45,2018-04-07T16:50:18,,,tt0708413,4211.4
"A Rock and a Hard Place",Q157,4496,52,litnrockhardplace,2018-05-13T12:47:28,,,,
"A Simple Investigation",Q158,2494,1,dsn115,2018-04-02T21:04:37,,,,50626.6
"A Taste of Armageddon",Q159,2926,18,tos23,2018-04-07T16:50:16,A_Taste_of_Armageddon,,tt0708414,3192.1
"A Time to Stand",Q160,2504,1,dsn125,2018-04-02T21:04:38,,,,
"A Vision of the Future Star Trek Voyager",Q161,4462,56,savisionfuture,2018-05-20T22:01:39,,,,
"A conversation with Einstein",Q154,5249,208,aconveinstein,2018-05-27T12:54:31,,,,
"A. C. Crispin",Q162,10421,178,crispinac,2018-05-20T21:13:01,,,,
"A.G. Robinson",Q163,1903,110,robinsonag,2018-04-22T16:17:14,A.G._Robinson,,,
ARA,Q532,3776,63,ara,2018-05-20T22:01:36,,,,
"Aamin Marritza",Q164,8388,105,marritzaaamin,2018-04-22T16:17:37,Aamin_Marritza,,,
Aaron,Q165,2222,93,aaron,2018-04-22T16:17:20,,,,
"Aaron Conor",Q167,7888,95,conoraaron,2018-04-22T16:17:35,Aaron_Conor,,,
"Aaron Lopresti",Q168,10450,187,loprestiaaron,2018-05-20T21:13:01,,,,
"Aaron Lustig",Q169,1350,187,lustigaaron,2018-05-20T16:21:00,,,nm0527316,
"Aaron Satie",Q170,1889,111,satieaaron,2018-04-22T16:17:14,Aaron_Satie,,,
Abaddon,Q171,5074,121,abaddon,2018-05-13T12:23:22,,,,
Abarca,Q172,9587,93,abarca,2018-04-22T16:17:44,,,,
Abbot,Q173,9417,93,abbot,2018-04-22T16:17:43,,,,
"Abby Brammell",Q174,956,177,bramellabby,2018-05-20T16:20:48,,,nm1354503,
"Abraham Lincoln",Q175,6032,104,lincolnabraham,2018-04-22T16:17:27,Abraham_Lincoln,,,
"Abraham Sofaer",Q176,1610,194,sofaerabrahm,2018-05-20T16:21:08,,,nm0812125,
"Abrasivo chirurgico",Q177,3726,60,abrasivochirurgico,2018-05-20T22:01:35,,,,
Abrom,Q178,7105,93,abrom,2018-04-22T16:17:32,Abrom,,,
"Acamar III",Q180,4093,149,acamar3,2018-04-22T21:14:29,,,,
Acamariani,Q181,5073,121,acamariani,2018-05-13T12:23:22,,,,
Accession,Q182,2469,1,dsn089,2018-04-02T21:04:37,,,,49600.7
Accolan,Q183,7313,93,accolan,2018-04-22T16:17:33,,,,
"Accordi di Khitomer",Q184,17,11,accordikhitomer,2018-05-20T21:39:01,Khitomer_Accords,"Khitomer Accords",,
"Accordo di Jankata",Q185,18,11,accordojankata,2018-05-20T21:39:01,Jankata_Accord,"Jankata Accord",,
Acetilcolina,Q186,3678,58,acetilcolina,2018-05-20T22:01:33,,,,
Achilles,Q187,7072,93,achilles,2018-04-22T16:17:32,Achilles_(892-IV),,,
"Acost Jared",Q188,7738,102,jaredacost,2018-04-22T16:17:34,Acost_Jared,,,
"Acqua di Altair",Q189,5782,203,acquaaltair,2018-05-27T13:13:54,,,,
"Acqua tonica boliana",Q190,5783,203,acquatonicaboliana,2018-05-27T13:13:54,,,,
Acquisition,Q191,2302,17,ent019,2018-04-02T21:04:28,,,,
"Ada Maris",Q192,1371,188,marisada,2018-05-20T16:21:01,,,nm0548040,
Adah,Q193,9129,93,adah,2018-04-22T16:17:41,,,,
Adam,Q194,6050,93,adam,2018-04-22T16:17:27,Adam,,,
"Adam Belanoff",Q195,7991,177,belanoffadam,2018-05-20T20:34:28,,,nm0004277,
"Adam Clark",Q196,1026,178,clarkadam,2018-05-20T16:20:50,,,nm0163615,
"Adam Grimes",Q197,1203,182,grimesadam,2018-05-20T16:20:56,,,nm0342182,
"Adam Harrington",Q198,6401,183,harringtonadam,2018-05-20T17:00:35,,,,
"Adam Nimoy",Q199,1455,189,nimoyadam,2018-05-20T16:21:04,,,nm0632382,
"Adam Paul",Q200,6386,191,pauladam,2018-05-20T17:00:35,,,,
"Adam Roarke",Q201,6706,193,roarkeadam,2018-05-20T17:00:40,,,,
"Adam Ryen",Q202,7776,193,ryenadam,2018-05-20T17:01:00,,,,
"Adam Scott",Q203,10094,194,scottadam,2018-05-20T20:35:05,,,,
"Adam Taylor Gordon",Q204,1645,195,taylorgordonadam,2018-05-20T16:21:09,,,nm1355146,
Adar,Q205,9401,93,adar,2018-04-22T16:17:43,Adar,,,
"Adbul Salaam El Razzac",Q206,7236,180,elrazzacabdulsalaam,2018-05-20T17:00:52,,,,
"Addetta al teletrasporto",Q12494,10850,409,readdettateletrasporto,2018-05-20T22:02:00,,,,
"Adelphous IV",Q207,4097,149,adelphous4,2018-04-22T21:14:29,,,,
"Adigeon Prime",Q208,4092,149,adigeonprime,2018-04-22T21:14:29,,,,
Adin,Q209,9332,93,adin,2018-04-22T16:17:42,,,,
"Adrian Sparks",Q210,9536,194,sparksadrian,2018-05-20T20:34:52,,,,
"Adrian Spies",Q211,7136,194,spiesadrian,2018-05-20T17:00:50,,,,
"Adrienne Barbeau",Q212,9024,177,barbeauadrienne,2018-05-20T20:34:44,,,,
Aenar,Q213,5089,121,aenar,2018-05-13T12:23:22,,,,
Aeon,Q214,674,42,assfaseon,2018-05-06T13:11:42,,,,
Affliction,Q215,2374,17,ent091,2018-04-02T21:04:32,Affliction,,,
Afterimage,Q216,2532,1,dsn153,2018-04-02T21:04:39,,,,
Agaron,Q217,4091,149,agaron,2018-04-22T21:14:29,,,,
Agaroniani,Q218,5072,121,agaroniani,2018-05-13T12:23:22,,,,
Agmar,Q219,10748,93,agmar,2018-04-22T16:17:49,,,,
Ah'Len,Q222,6216,93,ahlen,2018-04-22T16:17:28,,,,
Ah-Kel,Q221,8369,93,ahkel,2018-04-22T16:17:37,,,,
Ahjess,Q223,2224,93,ahjess,2018-04-22T16:17:20,,,,
"Ahni Jetal",Q224,3116,102,jetalahni,2018-04-22T16:17:23,Ahni_Jetal,,,
"Aikido 1",Q225,5224,208,aikido1,2018-05-27T12:54:29,,,,
"Air Randall",Q226,9996,193,randallair,2018-05-20T20:35:02,,,,
"Ajilon Prime",Q228,4098,149,ajilonprime,2018-04-22T21:14:29,,,,
Ajur,Q229,7676,93,ajur,2018-04-22T16:17:34,Ajur,,,
Akaar,Q230,7030,93,akaar,2018-04-22T16:17:32,,,,
Akary,Q231,6223,93,akary,2018-04-22T16:17:28,Akary,,,
"Akemi Royer",Q232,9860,193,royerakemi,2018-05-20T20:34:58,,,nm0747354,
"Akiva Goldsman",Q233,10809,182,goldsmanakiva,2018-05-20T21:13:05,,,nm0326040,
"Akorem Laan",Q234,8715,93,akoremlaan,2018-04-22T16:17:39,,,,
Akritira,Q235,4090,149,akritira,2018-04-22T21:14:29,,,,
Akritiri,Q236,5071,121,akritiri,2018-05-13T12:23:22,,,,
Akuta,Q237,7048,93,akuta,2018-04-22T16:17:32,Akuta,,,
Al,Q238,9070,215,al,2018-04-22T16:17:41,Al,,,
"Al Cavens",Q239,3277,178,cavensal,2018-05-20T16:21:14,,,nm0147088,
"Al Jones",Q240,9926,185,jonesal,2018-05-20T20:34:59,,,,
"Al Rodrigo",Q241,8638,193,rodrigoal,2018-05-20T20:34:37,,,,
"Alan Altshuld",Q242,876,176,altshuldalan,2018-05-20T16:20:46,,,nm0023057,
"Alan Bergmann",Q243,6133,177,bergmannalan,2018-05-20T17:00:31,,,,
"Alan Brennert",Q244,959,177,brennertalan,2018-05-20T16:20:48,,,nm0107524,
"Alan Brooks",Q245,9777,177,brooksalan,2018-05-20T20:34:55,,,,
"Alan Cross",Q246,7162,178,crossalan,2018-05-20T17:00:50,,,nm0189101,
"Alan Dale",Q247,10115,179,dalealan,2018-05-20T20:35:05,,,,
"Alan Dean Foster",Q248,1156,181,fosteralandean,2018-05-20T16:20:54,,,nm0287669,
"Alan Echevarria",Q249,8770,180,echevarriaalan,2018-05-20T20:34:40,,,,
"Alan Gibbs",Q250,6275,182,gibbsalan,2018-05-20T17:00:33,,,,
"Alan J. Alder",Q251,7844,176,alderalanj,2018-05-20T20:34:26,,,nm0012099,
"Alan Oliney",Q252,9937,190,olineyalan,2018-05-20T20:35:00,,,,
"Alan Oppenheimer",Q253,1467,190,oppenheimeralan,2018-05-20T16:21:04,,,nm0649178,
"Alan Ruck",Q254,10025,193,ruckalan,2018-05-20T20:35:02,,,,
"Alan Scarfe",Q255,1569,194,scarfealan,2018-05-20T16:21:07,,,nm0769154,
"Alan Shearman",Q256,7391,194,shearmanalan,2018-05-20T17:00:54,,,,
"Alan Sims",Q257,4688,194,simsalan,2018-05-20T17:00:27,,,,
Alans,Q258,2225,93,alans,2018-04-22T16:17:20,,,,
Alastria,Q259,4089,149,alastria,2018-04-22T21:14:29,,,,
Albatross,Q260,3000,19,tas19,2018-04-30T09:57:21,,,,5285.6
Alben,Q261,9363,93,alben,2018-04-22T16:17:42,Alben,,,
Albert,Q262,7899,93,albert,2018-04-22T16:17:35,,,,
"Albert Einstein",Q263,7753,215,einsteinalbert,2018-04-22T16:17:34,Albert_Einstein,,,
"Albert Hall",Q264,7561,183,hallalbert,2018-05-20T17:00:58,,,,
"Albert Henderson",Q265,8505,183,hendersonalbert,2018-05-20T20:34:35,,,,
"Albert Macklin",Q266,8991,105,macklinalbert,2018-04-22T16:17:40,Albert_Macklin,,,
"Albert Stratton",Q267,7397,194,strattonalbert,2018-05-20T17:00:54,,,,
"Alberto Giolitti",Q268,10360,182,giolittialberto,2018-05-20T21:13:01,,,,
"Alberto Lisiero",Q269,4696,187,lisieroalberto,2018-05-20T17:00:27,,,,
"Albie Selznick",Q270,1580,194,selznickalbie,2018-05-20T16:21:07,,,nm0783675,
Albino,Q271,8459,93,albino,2018-04-22T16:17:38,Albino,,,
Alcia,Q272,9231,93,alcia,2018-04-22T16:17:42,Alcia,,,
Alcyoniani,Q273,5070,121,alcyoniani,2018-05-13T12:23:22,,,,
Aldara,Q274,87,221,ascardkgaloraldara,2018-05-06T13:10:52,Aldara,,,
Aldea,Q275,4088,149,aldea,2018-04-22T21:14:29,,,,
Aldeani,Q276,5069,21,aldeani,2018-05-13T12:23:22,,,,
"Aldebaran III",Q277,4087,149,aldebaran,2018-04-22T21:14:29,,,,
Alden,Q278,2220,93,alden,2018-04-22T16:17:20,,,,
"Alec Newman",Q279,1451,189,newmanalec,2018-05-20T16:21:03,,,nm0627995,
"Alenis Grem",Q280,8570,93,alenisgrem,2018-04-22T16:17:38,Alenis_Grem,,,
"Alex Chansky",Q281,1015,178,chanskyalex,2018-05-20T16:20:50,,,nm1058072,
"Alex Datcher",Q282,8141,179,datcheralex,2018-05-20T20:34:31,,,,
"Alex Henteloff",Q315,9956,183,henteloffalex,2018-05-20T20:35:00,,,,
"Alex Kurtzman",Q284,7463,186,kurtzmanalex,2018-05-20T17:00:56,,,nm0476064,
"Alex Nevil",Q285,6181,189,nevilalex,2018-05-20T17:00:32,,,nm0627412,
"Alexana Devos",Q286,7654,96,devosalexana,2018-04-22T16:17:33,Alexana_Devos,,,
Alexander,Q287,6114,93,alexander,2018-04-22T16:17:27,,,,
"Alexander Chance",Q288,6377,178,chancealexander,2018-05-20T17:00:35,,,,
"Alexander Courage",Q289,6070,178,couragealexander,2018-05-20T17:00:29,,,,
"Alexander Enberg",Q290,1130,180,enbergalexander,2018-05-20T16:20:53,,,nm0256717,
"Alexander Rozhenko",Q291,7534,110,rozhenkoalexander,2018-04-22T16:17:33,Alexander_Rozhenko,,,
"Alexander Siddig",Q292,1595,194,siddigalexander,2018-05-20T16:21:08,,,nm0796502,
"Alexander Singer",Q293,1598,194,singeralexander,2018-05-20T16:21:08,,,nm0801883,
Alexandra,Q294,7316,93,alexandra,2018-04-22T16:17:33,Alexandra,,,
"Alexandra Johnson",Q295,7233,185,johnsonalexandra,2018-05-20T17:00:52,,,,
"Alexandra Lydon",Q296,6612,187,lydonalexandra,2018-05-20T17:00:39,,,,
"Alexandria M. Salling",Q297,6484,194,sallingalexandriam,2018-05-20T17:00:37,,,,
"Alfa 177",Q298,4085,149,alfa177,2018-04-22T21:14:29,,,,
"Alfa 441",Q299,4083,149,alfa441,2018-04-22T21:14:29,,,,
"Alfa Carinae II",Q300,4082,149,alfacarinae2,2018-04-22T21:14:29,,,,
"Alfa Carinae V",Q301,4100,149,alfacarinae5,2018-04-22T21:14:29,,,,
"Alfa Centauri",Q302,4081,149,alphacentauri,2018-04-22T21:14:29,,,,
"Alfa Cygnus IX",Q303,4086,149,alfacygnus9,2018-04-22T21:14:29,,,,
"Alfa III",Q304,4084,149,alfa3,2018-04-22T21:14:29,,,,
"Alfa Majoris",Q305,4080,149,alphamajoris,2018-04-22T21:14:29,,,,
"Alfa Onias III",Q306,4101,149,alfaonias3,2018-04-22T21:14:29,,,,
"Alfa V",Q308,4099,149,alfa5,2018-04-22T21:14:29,,,,
"Alfre Woodard",Q309,10057,198,woodardalfre,2018-05-20T20:35:04,,,,
"Alfred Harris",Q310,9875,183,harrisalfred,2018-05-20T20:34:58,,,nm0364414,
"Alfred Ryder",Q311,6739,193,ryderalfred,2018-05-20T17:00:41,,,,
"Algeron IV",Q312,4102,149,algeron4,2018-04-22T21:14:29,,,,
"Ali di paraka",Q313,5931,204,alibaraka,2018-05-27T13:43:35,,,,
Alice,Q316,2856,22,voy125,2018-04-08T09:43:27,,,,
"Alice (personaggio)",Q317,9573,93,alice,2018-04-22T16:17:44,,,,
"Alice Krige",Q318,1307,186,krigealice,2018-05-20T16:20:59,,,nm0000481,
"Alice Rawlings",Q319,6794,193,rawlingsalice,2018-05-20T17:00:43,,,nm0712599,
"Alicia Adams",Q320,6613,176,adamsalicia,2018-05-20T17:00:39,,,,
"Alicia Coppola",Q321,9101,178,coppolaalicia,2018-05-20T20:34:45,,,,
"Alicia Travers",Q322,6633,404,traversalicia,2018-04-22T16:17:31,Alicia_Travers,,,
"Alidar Jarok",Q323,7646,102,jarokalidar,2018-04-22T16:17:33,Alidar_Jarok,,ch0167207,
"Alison Brooks",Q324,8199,177,brooksalison,2018-05-20T20:34:33,,,,
"Alison Rhodes",Q326,3213,110,rhodesalison,2018-04-22T16:17:26,Alison,,,
"Alissa Krämer",Q327,9438,186,krameralissa,2018-05-20T20:34:50,,,nm0469450,
Alixia,Q328,9494,93,alixia,2018-04-22T16:17:43,Alixia,,,
Alixus,Q329,8451,93,alixus,2018-04-22T16:17:38,Alixus,,,
Alizina,Q330,3691,58,alizina,2018-05-20T22:01:34,,,,
"All Good Things...",Q332,4466,52,litnallgoodthings,2018-05-13T12:47:26,,,,
"All Good Things... - Part I",Q333,2731,21,tng177,2018-04-02T21:04:46,All_Good_Things,,,"41153.7,47988.1"
"All Good Things... - Part II",Q334,2732,21,tng178,2018-04-02T21:04:46,All_Good_Things,,,
"All Of Me",Q335,10447,363,allofme,2018-05-20T22:01:56,,,,
"All Our Yesterdays",Q336,2981,18,tos78,2018-04-07T16:50:21,All_Our_Yesterdays,,tt0708415,5943.7
"All fall down",Q331,10471,367,allfalldown,2018-05-20T22:01:57,,,,
"Allan Asherman",Q337,4652,176,ashermanallan,2018-05-20T16:21:14,,,,
"Allan Dean Moore",Q338,8053,188,mooreallandean,2018-05-20T20:34:30,,,nm0600880,
"Allan Eastman",Q339,1120,180,eastmanandy,2018-05-20T16:20:53,,,nm0247621,
"Allan G. Royal",Q340,9267,193,royalallang,2018-05-20T20:34:48,,,,
"Allan Graf",Q341,9898,182,grafallan,2018-05-20T20:34:58,,,,
"Allan Kroeker",Q342,1308,186,kroekerallan,2018-05-20T16:20:59,,,nm0471862,
"Allan Miller",Q343,9921,188,millerallan,2018-05-20T20:34:59,,,,
"Allarme di sicurezza di livello 10",Q344,3778,63,allarmelivello10,2018-05-20T22:01:36,,,,
"Allarme di sicurezza di livello 2",Q10257,3777,63,allarmelivello2,2018-05-20T22:01:36,,,,
"Alleanza Klingon-Cardassiana",Q10258,10240,398,alleanzakc,2018-05-20T22:01:50,Klingon-Cardassian_Alliance,"Klingon-Cardassian Alliance",,
Allegiance,Q347,2620,21,tng066,2018-04-02T21:04:41,,,,43714.1
"Allen Pinson",Q348,6976,191,pinsonallen,2018-05-20T17:00:47,,,,
"Allen Robinson",Q349,10128,193,robinsonallen,2018-05-20T21:13:00,,,,
Alliances,Q350,2761,22,voy030,2018-04-02T21:04:47,,,,49337.4
"Allison Hock",Q351,8135,183,hockallison,2018-05-20T20:34:31,,,nm0387881,
"Allison Liddi",Q352,9671,187,liddiallison,2018-05-20T20:34:54,,,nm0509183,
Allos,Q353,9501,93,allos,2018-04-22T16:17:43,Allos,,,
"Alnschloss K'Bentayr",Q12411,10832,409,alnschlosskbentayr,2018-05-20T22:02:00,Alnschloss_K%27Bentayr,,,
Alondra,Q354,10843,149,alondra,2018-04-22T21:14:32,Alondra,,,
"Alpha Eridani II",Q307,4079,149,alphaproxima2,2018-04-22T21:14:29,,,,
Alrik,Q355,7907,93,alrik,2018-04-22T16:17:35,Alrik,,,
Alsauria,Q356,4078,149,alsauria,2018-04-22T21:14:29,,,,
Alsauriani,Q357,5068,121,alsauriani,2018-05-13T12:23:21,,,,
Alsia,Q358,8437,93,alsia,2018-04-22T16:17:37,Alsia,,,
"Altair III",Q359,4103,149,altair3,2018-04-22T21:14:29,,,,
"Altair IV",Q360,10571,149,altair4,2018-04-22T21:14:32,,,,
"Altair VI",Q361,4077,149,altair6,2018-04-22T21:14:29,,,,
"Alter Ego",Q362,2787,22,voy056,2018-04-02T21:04:48,Alter_Ego,,,50460.3
"Altonian brain teaser",Q363,5225,208,altonianbt,2018-05-27T12:54:29,,,,
Altovar,Q364,i602,93,altovar,2018-04-22T16:17:38,Altovar,,,
"Alture VII relaxation program",Q365,5226,208,alture7,2018-05-27T12:54:29,,,,
Aluura,Q366,980,93,aluura,2018-04-22T16:17:40,Aluura,,,
"Alyce Andrece",Q367,957,176,andrecealyce,2018-05-20T17:00:47,,,,
"Alynna Nechayev",Q368,8084,106,nechayevalynna,2018-04-22T16:17:35,Alynna_Nechayev,,,
"Alyssa Ogawa",Q369,1942,107,ogawaalyssa,2018-04-22T16:17:15,Alyssa_Ogawa,,,
Alzen,Q370,9483,93,alzen,2018-04-22T16:17:43,Alzen,,,
"Amanda Carlin",Q371,524,178,carlinamanda,2018-05-20T20:34:36,,,,
"Amanda Cole",Q372,557,95,coleamanda,2018-04-22T16:17:31,Amanda_Cole,,,
"Amanda Foreman",Q373,10839,181,foremanamanda,2018-05-20T21:13:05,Amanda_Foreman,,nm0286022,
"Amanda Grayson",Q374,7073,99,graysonamanda,2018-04-22T16:17:32,Amanda_Grayson,,,
"Amanda Grayson (reboot)",Q12412,10822,409,regraysonamanda,2018-05-20T22:01:59,Amanda_Grayson_%28alternate_reality%29,,ch0040549,
"Amanda McBroom",Q375,7412,188,mcbroomamanda,2018-05-20T17:00:55,,,,
"Amanda Rogers",Q376,8074,110,rogersamanda,2018-04-22T16:17:35,Amanda_Rogers,,,
Amarie,Q10259,7877,93,amarie,2018-04-22T16:17:34,Amarie,,,
Amaro,Q378,2227,93,amaro,2018-04-22T16:17:20,Amaro,,,
Amaros,Q379,8460,93,amaros,2018-04-22T16:17:38,Amaros,,,
Amat'igan,Q380,8735,93,amatigan,2018-04-22T16:17:39,Amat'igan,,,
"Ambasciatore Gral",Q381,658,99,gral,2018-04-22T16:17:31,Gral_(Tellarite),,,
"Ameba opreliana",Q382,5983,207,amebaopreliana,2018-05-20T22:01:46,,,,
"Amelia Earhart",Q383,9194,97,earhartamelia,2018-04-22T16:17:41,Amelia_Earhart,,,
Amerind,Q384,4076,149,amerind,2018-04-22T21:14:29,,,,
Ameron,Q385,9336,93,ameron,2018-04-22T16:17:42,,,,
"Amick Byram",Q386,987,177,byramamick,2018-05-20T16:20:49,,,nm0125974,
"Amleth Prime",Q387,4105,149,amlethprime,2018-04-22T21:14:29,,,,
"Ammasso galattico 3",Q388,5970,31,ammasso3,2018-05-20T22:01:45,,,,
"Ammasso stellare Tenarus",Q389,5603,330,astenarus,2018-05-20T22:01:43,,,,
"Amok Time",Q390,2937,18,tos34,2018-04-07T16:50:17,,,tt0708416,3372.7
"Amsha Bashir",Q391,8803,94,bashiramsha,2018-04-22T16:17:39,Amsha_Bashir,,,
"Amy Benedict",Q392,8324,177,benedictamy,2018-05-20T20:34:34,,,,
"Amy Lindsay",Q393,9820,187,lindsayamy,2018-05-20T20:34:57,,,,
"Amy O'Neill",Q394,7548,190,oneillamy,2018-05-20T17:00:58,,,,
"Amy Pietz",Q395,8192,191,pietzamy,2018-05-20T20:34:32,,,,
"Amy Rohren",Q396,6627,93,rohrenamy,2018-05-20T17:00:40,,,,
"Amy Traicoff",Q397,9281,195,traicoffamy,2018-05-20T20:34:49,,,,
"Amy Ulen",Q398,6523,196,ulenamy,2018-05-20T17:00:38,,,,
"Amy Wieczorek",Q399,6596,198,wieczorekamy,2018-05-20T17:00:39,,,nm1426375,
"Anan 7",Q401,2219,93,anan7,2018-04-22T16:17:20,Anan_7,,,
Anara,Q402,2228,93,anara,2018-04-22T16:17:20,Anara,,,
Anbo-jytsu,Q403,6024,206,anbojytsu,2018-05-20T22:01:47,,,,
"Ancient Blood",Q404,4467,52,litnancientblood,2018-05-13T12:47:26,,,,
"Ancient West",Q405,5227,208,ancientwest,2018-05-27T12:54:29,,,,
"And the Children Shall Lead",Q406,2963,18,tos60,2018-04-07T16:50:20,And_the_Children_Shall_Lead_%28episode%29,,tt0708417,5029.5
Andoria,Q407,4075,149,andoria,2018-04-22T21:14:29,,,,
Andoriani,Q408,5067,121,andoriani,2018-05-13T12:23:21,Andorian,Andorians,,
Andrea,Q411,2217,93,andrea,2018-04-22T16:17:20,Andrea,,,
"Andrea Dromm",Q412,6720,179,drommandrea,2018-05-20T17:00:40,,,,
"Andrea Martin",Q413,8662,188,martinandrea,2018-05-20T20:34:38,,,,
"Andrea Sanavia",Q414,676,194,sanaviaandrea,2018-05-20T16:21:15,,,,
"Andreana Weiner",Q415,8157,198,weinerandreana,2018-05-20T20:34:31,,,,
"Andreas Katsulas",Q416,1281,186,katsulasandreas,2018-05-20T16:20:58,,,nm0441537,
"Andrew Bicknell",Q417,572,177,bicknellandrew,2018-05-20T17:00:58,,,,
"Andrew Borba",Q418,946,177,borbaandrew,2018-05-20T16:20:48,,,nm0095960,
"Andrew Currie",Q419,10464,178,currieandrew,2018-05-20T21:13:01,,,,
"Andrew Hawkes",Q420,8773,183,hawkesandrew,2018-05-20T20:34:40,,,,
"Andrew Hill Newman",Q421,9121,183,hillnewmanandrew,2018-05-20T20:34:45,,,nm0628008,
"Andrew J. Robinson",Q422,1535,193,robinsonandrew,2018-05-20T16:21:06,,,nm0732367,
"Andrew Kavovit",Q423,829,186,kavovitandrew,2018-05-20T20:34:40,,,,
"Andrew Kim",Q10260,367,404,kimandrew,2018-04-22T16:17:42,Andrew_Kim,,,
"Andrew Koenig",Q425,8497,186,koenigandrew,2018-05-20T20:34:35,,,,
"Andrew Palmer",Q426,1476,191,palmerandrew,2018-05-20T16:21:04,,,nm0658110,
"Andrew Powell",Q427,202,108,powellandrew,2018-04-22T16:17:26,Andrew_Powell,,,
"Andrew Prine",Q428,1509,191,prineandrew,2018-05-20T16:21:05,,,nm0697785,
"Andrew Shepard Price",Q429,1589,194,shepardandrew,2018-05-20T16:21:08,,,nm0696783,
"Andrew Stiles",Q430,855,111,stilesandrew,2018-04-22T16:17:13,Andrew_Stiles,,,
"Andrus Hagan",Q431,7748,100,haganandrus,2018-04-22T16:17:34,Andrus_Hagan,,,
"André Bormanis",Q409,947,177,bormanisandre,2018-05-20T16:20:48,,,nm0097004,
"André Jacquemetton",Q410,1264,185,jacquemettonaandre,2018-05-20T16:20:58,,,nm0415110,
"Andy Dick",Q432,9530,179,dickandy,2018-05-20T20:34:51,,,,
"Andy Epper",Q433,10086,180,epperandy,2018-05-20T20:35:05,,,,
"Andy Gill",Q434,10066,182,gillandy,2018-05-20T20:35:04,,,,
"Andy Kossin",Q435,8178,186,kossinandy,2018-05-20T20:34:32,,,,
