0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
The Schizoid Man,Q9236,sm,1994-12-05,1989-01-23,2,131,Les Landau,Q5378,Tracy Tormé,Q9565,"Hans Beimler,Richard Manning",,32,2,El hombre esquizoide,Double personalité,L'uomo schizoide,Mugon no Choutei-sha (Silent Mediator),Das fremde Gedächtnis (La memoria aliena),16 (U),Dennis McCarthy,Q2471,Loud as a Whisper,Q5533,Q9730
The Loss,Q9172,ls,1995-02-09,1990-12-31,3,184,Chip Chalmers,Q1764,"Hilary J. Bader,Vanessa Greene,Alan J. Alder","Q3783,Q9790,Q251",Hilary J. Bader,Q3783,84,4,La pérdida,La perte,La perdita,Ushinawareta Telepathy (Lost Telepathy),Das kosmische Band,42 (U),Dennis McCarthy,Q2471,Final Mission,Q3127,Q2255
Captain's Holiday,Q1569,cp,1995-01-20,1990-04-02,5,167,Chip Chalmers,Q1764,,,Ira Steven Behr,Q3982,67,3,Las vacaciones del capitán,Les vacances du capitaine,Le vacanze del capitano,Oinaru Holiday (Great Holiday),Picard macht Urlaub,34 (U),Dennis McCarthy,Q2471,Allegiance,Q347,Q9408
QPid,Q7339,qp,1995-02-21,1991-04-22,5,194,Cliff Bole,Q1941,Ira Steven Behr,Q3982,"Ira Steven Behr,Randee Russell","Q3982,Q7436",94,4,Cupido,Qpidon,Q-Pido,QPID,Gefangen in der Vergangenheit,47 (U),Dennis McCarthy,Q2471,The Nth Degree,Q9203,Q9114
Sarek (episodio),Q8029,sa,1995-01-25,1990-05-14,6,171,Les Landau,Q5378,Peter S. Beagle,Q7144,"Jake Jacobs,Mark Cushman","Q4090,Q5961",71,3,Sarek,Sarek,Sarek,Eiyu Shoukou-gun (Hero Syndrome),Botschafter Sarek,36 (U),Dennis McCarthy,Q2471,The Most Toys,Q9190,Q6191
Liaisons,Q5412,li,1997-08-28,1993-09-27,,254,Cliff Bole,Q1941,Jeanne Carrigan-Fauci,Q4240,"Jaq Greenspon,Roger Eschbacher","Q4188,Q7814",154,7,Medios de comunicación,Liaisons,Diplomazia spaziale,Iyaar-sei no Shisha (Emissary from Iyaar),Indiskretionen,77 (PG),Dennis McCarthy,Q2471,Descent - Part II,Q2492,Q3971
Time's Arrow - Part II,Q9378,t2,1996-06-27,1992-09-21,,227,Les Landau,Q5378,Jeri Taylor,Q4318,Joe Menosky,Q4422,127,6,"La flecha del tiempo, parte II",La flèche du temps II,Un mistero dal passato - Seconda parte,Time Slip Alien,Gefahr aus dem 19. Jahrhundert II,64 (PG),Dennis McCarthy,Q2471,Time's Arrow - Part I,Q9377,Q7479
Time's Arrow - Part I,Q9377,ta,1996-06-26,1992-06-15,7,226,Les Landau,Q5378,"Michael Piller,Joe Menosky","Q6295,Q4422",Joe Menosky,Q4422,126,5,"La flecha del tiempo, parte I",La flèche du temps I,Un mistero dal passato - Prima parte,Time Slip Alien,Gefahr aus dem 19. Jahrhundert I,63 (PG),Dennis McCarthy,Q2471,The Inner Light,Q9158,Q9378
Legacy (tng080),Q5331,le,1995-02-06,1990-10-29,2,180,Robert Scheerer,Q7770,,,Joe Menosky,Q4422,80,4,El legado,Héritage,Sorelle,Kakumei-senshi Ishara Yar (Revolution Warrior Ishara Yar),Die Rettungsoperation,40 (U),Dennis McCarthy,Q2471,Remember Me,Q7534,Q7574
Masks,Q6071,mk,1997-09-15,1994-02-21,,269,Robert Wiemer,Q7781,,,Joe Menosky,Q4422,169,7,Máscaras,Masques,Maschere,Taju-jinkaku Android (Multiple Personality Android),Der Komet,85 (U),Dennis McCarthy,Q2471,Thine Own Self,Q9310,Q3037
