0-Titolo originale,1-DataTrek Item,2-Codice TNG Companion,3-Data di pubblicazione in Italia,4-Data di pubblicazione originale,5-DVD europeo,6-Numero di produzione,7-Regista,8-Regista Q,9-Sceneggiatura,10-Sceneggiatura Q,11-Storia,12-Storia Q,13-Sequenza di trasmissione,14-Stagione,15-Titolo ES,16-Titolo FR,17-Titolo italiano,18-Titolo JP,19-Titolo tedesco,20-VHS britannica,21-Music by,22-Music by Q,23-Precedente,24-Precedente Q,25-Successivo
Lessons,Q5393,ln,1996-07-18,1993-04-05,,245,Robert Wiemer,Q7781,,,"Ronald Wilkerson,Jean Louise Matthias","Q7859,Q4233",145,6,Lecciones,Leçons de musique,Amore e dovere,Galaxy Romance,Der Feuersturm,73 (U),Dennis McCarthy,Q2471,Starship Mine,Q8551,Q9080
Imaginary Friend,Q3909,im,1996-02-23,1992-05-04,6,222,Gabrielle Beaumont,Q3276,"Brannon Braga,Edithe Swensen","Q1365,Q2762","Ronald Wilkerson,Jean Louise Matthias,Richard Fliegel","Q7859,Q4233,Q7617",122,5,La amiga imaginaria,L'amie imaginaire,Un'amica immaginaria,Imaginary Friend,Die imaginäre Freundin,61,Dennis McCarthy,Q2471,The Perfect Mate,Q9213,Q3849
Hollow Pursuits,Q3798,hp,1995-01-23,1990-04-30,6,169,Cliff Bole,Q1941,,,Sally Caves,Q7965,69,3,Recreaciones falsas,Fantasmes holographiques,Illusione o realtà?,Tousaku no Hologram Deck (Perverted Hologram Deck),Der schüchterne Reginald,35 (PG),Dennis McCarthy,Q2471,Tin Man,Q9408,Q9190
The Vengeance Factor,Q9277,vf,1995-01-10,1989-11-20,3,157,Timothy Bond,Q9399,,,Sam Rolfe,Q7982,57,3,El factor venganza,Vengeance,Fattore vendetta,Fukushu no Toriko (Captive of Revenge),"Yuta, die letzte ihres Clans",29 (PG),Dennis McCarthy,Q2471,The Price,Q9217,Q9104
Coming of Age,Q1989,ca,1997-03-24,1988-03-14,5,119,Michael Laurence Vejar,Q6278,,,Sandy Fries,Q8010,19,1,Mayoría de edad,L'âge de maturité,L'età della ragione,Uchu-senshi eno Michi (Way to Space Warrior),Prüfungen (Tests),10 (U),Dennis McCarthy,Q2471,Home Soil,Q3803,Q3718
The Dauphin,Q9102,dp,1994-12-16,1989-02-20,3,136,Rob Bowman,Q7704,,,"Scott Rubenstein,Leonard Mlodinow","Q8096,Q5371",36,2,El delfín,La dauphine,La delfina,Unmei no Shojo Salia (Weird Girl Salia),Die Thronfolgerin (L'erede al trono),18 (PG),Dennis McCarthy,Q2471,The Measure of a Man,Q9185,Q2010
The Most Toys,Q9190,mo,1995-01-24,1990-05-07,6,170,Timothy Bond,Q9399,,,Shari Goodhartz,Q8188,70,3,El juguete más preciado,Les jouets,Il collezionista,Kyukyoku no Collection (Ultimate Collection),Der Sammler,35 (PG),Dennis McCarthy,Q2471,Hollow Pursuits,Q3798,Q8029
Violations,Q9890,vi,1995-03-15,1992-02-03,3,212,Robert Wiemer,Q7781,"Jeri Taylor,Pamela Gray","Q4318,Q6935","Shari Goodhartz,Pamela Gray,T Michael","Q8188,Q6935,Q8763",112,5,Delitos,Viol,Violenze mentali,Kioku-sin'nyu-sha Ullia-seijin (Memory Intruder Ullian),Geistige Gewalt,56 (PG),Dennis McCarthy,Q2471,Hero Worship,Q3768,Q9184
Homeward,Q3806,hm,1997-09-10,1994-01-17,,265,Alexander Singer,Q293,Naren Shankar,,Spike Steingasser,Q8393,165,7,Yendo a casa,Terre promise,Terra promessa,Horobi-yuku Wakusei (Dying Planet),Die oberste Direktive,83 (PG),Dennis McCarthy,Q2471,The Pegasus,Q9212,Q8689
New Ground,Q6663,ng,1995-03-13,1992-01-06,3,210,Robert Scheerer,Q7770,Grant Rosenberg,Q3543,"Stuart Charno,Sara Charno","Q8677,Q8016",110,5,Nuevo territorio,Nouveau départ,L'onda soliton,Shin Warp Kouhou Soliton Wave (New Warp Navigation Soliton Wave),Die Soliton-Welle,55 (U),Dennis McCarthy,Q2471,A Matter of Time,Q115,Q3768
Ethics,Q2966,et,1995-03-20,1992-03-02,4,216,Chip Chalmers,Q1764,Ronald D. Moore,Q7854,"Stuart Charno,Sara Charno","Q8677,Q8016",116,5,Ética,Ethique,Questione di etica,Shinkei Iryou Expert Docter Russell (Neuro Cure Expert Docter Russell),Die Operation,58 (PG),Dennis McCarthy,Q2471,Power Play,Q7264,Q9207
The Wounded,Q9292,wo,1995-02-11,1991-01-28,3,186,Chip Chalmers,Q1764,Jeri Taylor,Q4318,"Stuart Charno,Sara Charno,Cy Chermak","Q8677,Q8016,Q2126",86,4,Los heridos,Meurtri,Un uomo ferito,Fujitsu-naru Heiwa (Unfaithful Peace),Der Rachefeldzug,43 (U),Dennis McCarthy,Q2471,Data's Day,Q2255,Q2504
Manhunt,Q5871,mh,1994-12-27,1989-06-19,5,145,Rob Bowman,Q7704,,,Terry Devereaux,,45,2,,Chasse à l'homme,Caccia all'uomo,Miserarete (Under a Spell),"Andere Sterne, andere Sitten (Altre stelle, altre usanze)",23 (PG),Dennis McCarthy,Q2471,Up The Long Ladder,Q9737,Q9115
Galaxy's Child,Q3289,gc,1995-02-16,1991-03-11,4,190,Winrich Kolbe,Q10098,Maurice Hurley,Q6102,Thomas Kartozian,Q9323,90,4,El hijo de la galaxia,L'enfant stellaire,Il figlio della galassia,Galaxy Child,Die Begegnung im Weltraum,45 (PG),Dennis McCarthy,Q2471,First Contact (episodio),Q3137,Q6699
Identity Crisis,Q3868,ic,1995-02-18,1991-03-25,5,192,Winrich Kolbe,Q10098,Brannon Braga,Q1365,Timothy de Haas,Q9403,92,4,Crisis de identidad,Crise d'identité,Metamorfosi,Identity Crisis,Der unbekannte Schatten,46 (PG),Dennis McCarthy,Q2471,Night Terrors,Q6699,Q9203
The Big Goodbye,Q9071,bg,1992-07-27,1988-01-11,3,113,Joseph L. Scanlan,Q4635,,,Tracy Tormé,Q9565,12,1,El gran adiós,Le long adieu,Il grande addio,Uchu-kukan no Meitantei (Great Detective in Space),Der große Abschied (Il grande addio),6 (PG),Dennis McCarthy,Q2471,Haven,Q3704,Q2256
Haven,Q3704,hv,1991-07-25,1987-11-30,3,105,Richard Compton,Q7609,Tracy Tormé,Q9565,"Tracy Tormé,Lan O'Kun","Q9565,Q5211",11,1,Puerto,Haven,Haven,Yume no Hito (Dreamy People),Die Frau seiner Träume (La donna dei suoi sogni),6 (PG),Dennis McCarthy,Q2471,Hide And Q,Q3778,Q9071
Justice,Q4709,ju,1992-06-29,1987-11-09,2,109,James L. Conway,Q4126,Worley Thorne,Q10113,Worley Thorne,Q10113,8,1,Justicia,Justice,Il giudizio,Kami karano Keikoku (Warning from God),Das Gesetz von Edo (La legge degli Edo),4 (PG),Dennis McCarthy,Q2471,Lonely Among Us,Q5501,Q9065
Genesis (tng171),Q3401,ge,1997-09-17,1994-03-21,,271,Gates McFadden,Q3370,Brannon Braga,Q1365,,,171,7,Génesis,Genèse,Genesi,Kyoufu no Intron Virus (Terrible Intron Virus),Genesis,86 (PG),Dennis McCarthy,Q2471,Eye of the Beholder,Q3037,Q4657
All Good Things... - Part I,Q333,ag,1997-09-24,1994-05-23,,277,Winrich Kolbe,Q10098,"Brannon Braga,Ronald D. Moore","Q1365,Q7854",,,177,7,Todas las cosas buenas... Parte I,Toutes les bonnes choses… I,"Ieri, oggi, domani - Prima parte",Eien eno Tabi (Journey to Eternity),"Gestern, heute, morgen I",89 (U),Dennis McCarthy,Q2471,Preemptive Strike,Q7273,Q334
All Good Things... - Part II,Q334,ag,1997-09-25,1994-05-23,,278,Winrich Kolbe,Q10098,"Brannon Braga,Ronald D. Moore","Q1365,Q7854",,,178,7,Todas las cosas buenas... Parte II,Toutes les bonnes choses… II,"Ieri, oggi, domani - Seconda parte",Eien eno Tabi (Journey to Eternity),"Gestern, heute, morgen II",89 (U),Dennis McCarthy,Q2471,All Good Things... - Part I,Q333,
Sins of the Father,Q8296,sf,1995-01-18,1990-03-19,5,165,Les Landau,Q5378,"Drew Deighan,Ronald D. Moore,W. Reed Morgan","Q2684,Q7854,Q9956",,,65,3,Los pecados de padre,Les péchés du père,I peccati del padre,Klingon-senshi toshite (As Klingon Warrior),Die Sünden des Vaters,33 (U),Dennis McCarthy,Q2471,The Offspring,Q9204,Q347
Ship in a Bottle,Q8231,sb,1996-07-10,1993-01-25,,238,Alexander Singer,Q293,René Echevarria,,,,138,6,Una nave en una botella,Un navire dans une bouteille,La nave in bottiglia,Yomigaetta Moriety Kyouju (Resurging Professor Moriety),Das Schiff in der Flasche,69 (PG),Dennis McCarthy,Q2471,Chain of Command - Part II,Q1683,Q529
Face of the Enemy,Q3049,fe,1996-07-12,1993-02-08,,240,Gabrielle Beaumont,Q3276,Naren Shankar,,René Echevarria,Q7544,140,6,El rostro del enemigo,Le vrai visage de l'ennemi,Il volto del nemico,Romulan Teikoku Boumei Sakusen (Romulan Empire Defection Operation),Das Gesicht des Feindes,70 (U),Don Davis,Q2596,Aquiel,Q529,Q8869
Code of Honor,Q1963,ch,1991-07-18,1987-10-12,1,104,Russ Mayberry,Q7917,,,"Katharyn Powers,Michael Baron","Q4825,Q6231",4,1,Código de honor,Le code de l'honneur,Codice d'onore,Ai-naki Wakusei (Loveless Planet),Der Ehrenkodex (Il codice d'onore),2 (PG),Fred Steiner,Q3230,The Naked Now,Q9194,Q9169
Too Short A Season,Q9512,ts,1992-07-20,1988-02-08,4,112,Rob Bowman,Q7704,"Dorothy Catherine Fontana,Michael Michaelian","Q2641,Q6285",Michael Michaelian,Q6285,16,1,Un período demasiado corto,Un trop court moment,Guerra privata,Oinaru Tsugunai (Great Payment),Die Entscheidung des Admirals (La decisione dell'ammiraglio),8 (PG),George Romanis,Q3431,11001001,Q109,Q10024
Emergence,Q2845,eg,1997-09-22,1994-05-09,,275,Cliff Bole,Q1941,Joe Menosky,Q4422,Brannon Braga,,175,7,Aparición,Emergence,Una nuova vita,Chiteki-seimeitai Enterprise (Intelligent Lifeform Enterprise),Neue Intelligenz,88 (U),Jay Chattaway,Q4220,Bloodlines,Q1270,Q7273
Eye of the Beholder,Q3037,eb,1997-09-16,1994-02-28,,270,Cliff Bole,Q1941,René Echevarria,,Brannon Braga,,170,7,El ojo del observador,L'œil de l'admirateur,Echi mentali,Nazo no Genkaku Telepathy (Mysterious Illusion Telepathy),Der Fall,85 (PG),Jay Chattaway,Q4220,Masks,Q6071,Q3401
Realm of Fear,Q7479,rf,1996-06-28,1992-09-28,,228,Cliff Bole,Q1941,,,Brannon Braga,,128,6,El reino del miedo,Le règne de la peur,Paure nascoste,Plasma Houden no Nazo (Mystery of Plasma Discharge),Todesangst beim Beamen (Paura della morte),64 (PG),Jay Chattaway,Q4220,Time's Arrow - Part II,Q9378,Q5868
Frame of Mind,Q3187,fr,1996-07-20,1993-05-03,,247,James L. Conway,Q4126,,,Brannon Braga,,147,6,Estado de animo,Etat d'esprit,Schegge di realtà,Norowareta Mousou (Blanked Mirage),Phantasie oder Wahrheit,74 (PG),Jay Chattaway,Q4220,The Chase,Q9080,Q8740
Birthright - Part I,Q1251,bi,1996-07-15,1993-02-22,,242,Winrich Kolbe,Q10098,,,Brannon Braga,,142,6,"Derechos de nacimiento, parte I",Droit ancestral I,La voce del sangue - Prima parte,Birthright,Der Moment der Erkenntnis I,71 (PG),Jay Chattaway,Q4220,Tapestry,Q8869,Q1252
Gambit - Part I,Q3309,g1,1997-08-30,1993-10-11,,256,Peter Lauritson,Q7136,Naren Shankar,,"Christopher Hatton,Naren Shankar","Q1815,Q6571",156,7,"Árdid, parte I",La pierre de Gol I,L'arma perduta - Prima Parte,Nazo no Alien Butai (Mysterious Alien Force),Der Schachzug I,78 (PG),Jay Chattaway,Q4220,Interface,Q3971,Q3310
Inheritance,Q3957,ih,1997-09-06,1993-11-22,,262,Robert Scheerer,Q7770,"René Echevarria,Jeri Taylor,Dan Koeppel","Q7544,Q4318,Q2183",Dan Koeppel,Q2183,162,7,Herencia,L'héritage,Una madre per Data,Android no Hahaoya (Mother of Android),Soongs Vermächtnis,81 (U),Jay Chattaway,Q4220,Force of Nature,Q3177,Q6954
Tin Man,Q9408,ti,1995-01-21,1990-04-23,5,168,Robert Scheerer,Q7770,,,David Bischoff,Q2278,68,3,El hombre de latón,Tin man,L'uomo di latta,Kodokuna Hourou-sha (Alone Stroller),Der Telepath,34 (U),Jay Chattaway,Q4220,Captain's Holiday,Q1569,Q3798
Chain of Command - Part I,Q1682,c1,1996-07-08,1992-12-14,,236,Robert Scheerer,Q7770,Ronald D. Moore,Q7854,Frank Abatemarco,Q3200,136,6,"Cadena de mando, parte I",Hiérarchie I,Il peso del comando - Prima parte,Sentou-shuzoku Cardassia-seijin (Battle Species Cardassians),Geheime Mission auf Celtris Drei I,68 (U),Jay Chattaway,Q4220,The Quality of Life,Q9221,Q1683
Chain of Command - Part II,Q1683,c2,1996-07-09,1992-12-14,,237,Les Landau,Q5378,,,Frank Abatemarco,Q3200,137,6,"Cadena de mando, parte II",Hiérarchie II,Il peso del comando - Seconda parte,Sentou-shuzoku Cardassia-seijin (Battle Species Cardassians),Geheime Mission auf Celtris Drei II,69 (PG),Jay Chattaway,Q4220,Chain of Command - Part I,Q1682,Q8231
The Game,Q9142,gm,1995-03-08,1991-10-28,2,206,Corey Allen,Q2023,Brannon Braga,Q1365,"Fred Bronson,Brannon Braga,Susan Sackett","Q3222,Q1365,Q8734",106,5,El juego,Le jeu,Il gioco,Alien Game,Gefährliche Spielsucht,53 (PG),Jay Chattaway,Q4220,Disaster,Q2563,Q9714
Hero Worship,Q3768,hw,1995-03-14,1992-01-27,3,211,Patrick Stewart,Q7002,Joe Menosky,Q4422,Hilary J. Bader,Q3783,111,5,Culto al Héroe,Culto al Héroe,Un eroe da imitare,Ankoku-seidan no Nazo (Mystery of Dark Cluster),Der Einzige Überlebende (L'unico sopravvissuto),56 (PG),Jay Chattaway,Q4220,New Ground,Q6663,Q9890
Dark Page,Q2237,dk,1997-09-03,1993-11-01,,259,Les Landau,Q5378,,,Hilary J. Bader,Q3783,159,7,Página oscura,Heures sombres,La porta chiusa,Kokoro no Dark Side (Dark Side of Heart),Ort der Finsternis,80 (U),Jay Chattaway,Q4220,Phantasms,Q7154,Q900
Rightful Heir,Q7679,rh,1996-07-23,1993-05-17,,249,Winrich Kolbe,Q10098,Ronald D. Moore,Q7854,James E. Brooks,Q4111,149,6,Heredero legítimo,Héritier légitime,Il ritorno di Khaless,Klingon-shin Kahless no Fukkatsu (Rebirth of Klingon God Kahless),Der rechtmäßige Erbe,75 (PG),Jay Chattaway,Q4220,Suspicions,Q8740,Q8117
The Masterpiece Society,Q9184,ms,1995-03-16,1992-02-10,4,213,Winrich Kolbe,Q10098,"Michael Piller,Adam Belanoff","Q6295,Q195","James Kahn,Adam Belanoff","Q4124,Q195",113,5,La obra de arte social,La société modèle,Una società perfetta,Idenshi Sousa Wakusei (Genetic Manipulation Planet),Das künstliche Paradies,57 (U),Jay Chattaway,Q4220,Violations,Q9890,Q2012
Sub Rosa,Q8689,sr,1997-09-11,1994-01-31,,266,Jonathan Frakes,Q53,Brannon Braga,Q1365,Jeri Taylor,,166,7,Sub Rosa,Sub rosa,Segreto di famiglia,Ai no Bourei (Ghost of Love),Ronin,83 (PG),Jay Chattaway,Q4220,Homeward,Q3806,Q5547
Aquiel,Q529,aq,1996-07-11,1993-02-01,,239,Cliff Bole,Q1941,"Brannon Braga,Ronald D. Moore","Q1365,Q7854",Jeri Taylor,,139,6,Aquiel,Aquiel,Aquiel,Nazo no Jouhatsu Jiken (Mysterious Fly-off Incident),Aquiel,70 (U),Jay Chattaway,Q4220,Ship in a Bottle,Q8231,Q3049
Descent - Part I,Q2491,de,1997-08-26,1993-06-21,,252,Alexander Singer,Q293,Ronald D. Moore,Q7854,Jeri Taylor,,152,6,"Descenso, parte I",Descente aux enfers I,Il ritorno dei Borg - Prima Parte,Borg Henshitsu no Nazo (Mystery of Borg Alternation),Angriff der Borg I,76 (PG),Jay Chattaway,Q4220,Timescape,Q9393,Q2492
The Outcast,Q9207,oc,1995-03-21,1992-03-16,5,217,Robert Scheerer,Q7770,,,Jeri Taylor,,117,5,El paria,Paria,Il diritto di essere,Ryousei-Guyu J'Naii-seijin (Androgyny J'Naii),Verbotene Liebe,59 (PG),Jay Chattaway,Q4220,Ethics,Q2966,Q1657
Silicon Avatar,Q8264,si,1995-03-06,1991-10-14,1,204,Cliff Bole,Q1941,Jeri Taylor,Q4318,Lawrence V. Conley,Q5297,104,5,La entidad cristalina,L'avatar de cristal,L'entità di cristallo,Satsuriku no Uchu-suishoutai (Space Crystal of Carnage),Das Recht auf Leben,52,Jay Chattaway,Q4220,Ensign Ro,Q2881,Q2563
Power Play,Q7264,pw,1995-03-18,1992-02-24,4,215,David Livingston,Q2316,"Brannon Braga,Herbert J. Wright,Rene Balcer","Q1365,Q3764,Q7543","Maurice Hurley,Paul Ruben","Q6102,Q7042",115,5,Juego de poder,Rapport de force,Gioco di potere,Bourei Hangyaku-sha (Ghost Rebel),Ungebetene Gäste,58 (PG),Jay Chattaway,Q4220,Conundrum,Q2012,Q2966
The Inner Light,Q9158,il,1996-02-23,1992-06-01,7,225,Peter Lauritson,Q7136,"Peter Allan Fields,Morgan Gendel","Q7122,Q6478",Morgan Gendel,Q6478,125,5,La luz interior,La lumière intérieure,Una vita per ricordare,Chou-jiku-wakusei Kataan (Super-spacetime Planet Kataan),Das zweite Leben,63 (PG),Jay Chattaway,Q4220,The Next Phase,Q9198,Q9377
Starship Mine,Q8551,st,1996-07-17,1993-03-29,,244,Cliff Bole,Q1941,,,Morgan Gendel,Q6478,144,6,Nave estelar abordada,28 minutes pour vivre,Complotto a bordo,Nazo no Sen'nyu-sha (Mysterious Infiltree),In der Hand von Terroristen,72 (PG),Jay Chattaway,Q4220,Birthright - Part II,Q1252,Q5393
Preemptive Strike,Q7273,ps,1997-09-23,1994-05-16,,276,Patrick Stewart,Q7002,René Echevarria,,Naren Shankar,Q6571,176,7,Ataque con derecho de prioridad,Attaque préventive,Il tenente Ro,Wakusei-renpou Guerrilla Butai (Federation Guerrilla Force),Die Rückkehr von Ro Laren,88 (U),Jay Chattaway,Q4220,Emergence,Q2845,Q333
Gambit - Part II,Q3310,g2,1997-09-01,1993-10-18,,257,Alexander Singer,Q293,Ronald D. Moore,Q7854,Naren Shankar,Q6571,157,7,"Árdid, parte II",La pierre de Gol II,L'arma perduta - Seconda Parte,Nazo no Alien Butai (Mysterious Alien Force),Der Schachzug II,79 (PG),Jay Chattaway,Q4220,Gambit - Part I,Q3309,Q7154
Darmok,Q2244,dm,1995-03-03,1991-09-30,1,202,Winrich Kolbe,Q10098,Joe Menosky,Q4422,"Philip LaZebnik,Joe Menosky","Q7171,Q4422",102,5,Darmok,Darmok,Darmok,Nazo no Tamarian-seijin (Mysterious Tamarians),Darmok,51 (PG),Jay Chattaway,Q4220,Redemption - Part II,Q7489,Q2881
The Perfect Mate,Q9213,pm,1995-04-01,1992-04-27,6,221,Cliff Bole,Q1941,Michael Piller,Q6295,René Echevarria,Q7544,121,5,La compañera perfecta,La parfaite compagne,La donna perfetta,Kyukyoku no Partner (Ultimate Partner),Eine hoffnungslose Romanze,61 (PG),Jay Chattaway,Q4220,Cost of Living,Q2042,Q3909
Descent - Part II,Q2492,d2,1997-08-27,1993-09-20,,253,Alexander Singer,Q293,,,René Echevarria,Q7544,153,7,"Descenso, parte II",Descente aux enfers II,Il ritorno dei Borg - Seconda Parte,Borg Henshitsu no Nazo (Mystery of Borg Alternation),Angriff der Borg II,77 (PG),Jay Chattaway,Q4220,Descent - Part I,Q2491,Q5412
Birthright - Part II,Q1252,bi2,1996-07-16,1993-03-01,,243,Dan Curry,Q2178,,,René Echevarria,Q7544,143,6,"Derechos de nacimiento, parte II",Droit ancestral II,La voce del sangue - Seconda parte,Birthright,Der Moment der Erkenntnis II,72 (PG),Jay Chattaway,Q4220,Birthright - Part I,Q1251,Q8551
"I, Borg",Q3849,ib,1996-02-23,1992-05-11,6,223,Robert Lederman,Q7754,,,René Echevarria,Q7544,123,5,"Yo, Borg",Lou le Borg,"Io, Borg",Borg Number Three,Ich bin Hugh,62 (U),Jay Chattaway,Q4220,Imaginary Friend,Q3909,Q9198
A Matter of Time,Q115,ma,1995-03-11,1991-11-18,3,209,Paul Lynch,Q7029,,,Rick Berman,Q7652,109,5,Cuestión de tiempo,Question de temps,Uno strano visitatore,26seiki no Time Traveler (Time Traveler from 26th Century),Der zeitreisende Historiker,55 (U),Jay Chattaway,Q4220,Unification - Part II,Q9715,Q6663
A Fistful of Datas,Q110,fs,1996-07-05,1992-11-09,,234,Patrick Stewart,Q7002,"Brannon Braga,Robert Hewitt Wolfe","Q1365,Q7742",Robert Hewitt Wolfe,Q7742,134,6,Un puñado de datas,Pour une poignée de Datas,Per un pugno di Data,Holodeck in the West,Eine Handvoll Datas,67 (U),Jay Chattaway,Q4220,Rascals,Q7452,Q9221
Relics,Q7528,rl,1996-07-01,1992-10-12,,230,Alexander Singer,Q293,,,Ronald D. Moore,Q7854,130,6,Reliquias,Reliques,Il naufrago del tempo,Enterprise no Omokage (Relic of Enterprise),Besuch von der alten Enterprise,65 (PG),Jay Chattaway,Q4220,Man of the People,Q5868,Q8061
Journey's End,Q4657,je,1997-09-18,1994-03-28,,272,Corey Allen,Q2023,,,Ronald D. Moore,Q7854,172,7,El final del viaje,La fin du voyage,La fine del viaggio,Aratanaru Tabiji (New Journey),Am Ende der Reise,86 (PG),Jay Chattaway,Q4220,Genesis (tng171),Q3401,Q3140
The Chase,Q9080,cha,1996-07-19,1993-04-26,,246,Jonathan Frakes,Q53,Joe Menosky,Q4422,"Ronald D. Moore,Joe Menosky","Q7854,Q4422",146,6,La caza,Le secret,Il segreto della vita,Inochi no Message (Message of Life),Das fehlende Fragment,73 (U),Jay Chattaway,Q4220,Lessons,Q5393,Q3187
In Theory,Q3928,it,1995-02-27,1991-06-03,7,199,Patrick Stewart,Q7002,,,"Ronald D. Moore,Joe Menosky","Q7854,Q4422",99,4,En teoría,En théorie,Programma: amore,Koi no Theory (Theory of Love),Datas erste Liebe,50 (PG),Jay Chattaway,Q4220,The Mind's Eye,Q9187,Q7488
The First Duty,Q9135,fd,1995-03-23,1992-03-30,5,219,Paul Lynch,Q7029,,,"Ronald D. Moore,Naren Shankar","Q7854,Q6571",119,5,La primera obligación,Le premier devoir,Il primo dovere,Kanashimi no Academy Sotugyou-shiki (Plaintful Academy Graduation),Ein mißglücktes Manöver,60 (U),Jay Chattaway,Q4220,Cause and Effect,Q1657,Q2042
Lower Decks,Q5547,ld,1997-09-12,1994-02-07,,267,Gabrielle Beaumont,Q3276,René Echevarria,,"Ronald Wilkerson,Jean Louise Matthias","Q7859,Q4233",167,7,Los niveles bajos,Promotions,Giovani carriere,Wakaki Yusha-tachi (Young Braves),Beförderung,84 (PG),Jay Chattaway,Q4220,Sub Rosa,Q8689,Q9310
Interface,Q3971,in,1997-08-29,1993-10-04,,255,Robert Wiemer,Q7781,Joe Menosky,Q4422,,,155,7,Interfase,Interface,L'interfaccia,Interface Kyushutsu Sakusen (Interface Rescue Operation),Das Interface,78 (PG),Jay Chattaway,Q4220,Liaisons,Q5412,Q3309
True Q,Q9652,tq,1996-07-03,1992-10-26,,232,Robert Scheerer,Q7770,René Echevarria,,,,132,6,Una verdadera Q,Q ou non,Una vera Q,TRUE Q,Eine echte,66 (U),Jay Chattaway,Q4220,Schisms,Q8061,Q7452
The Pegasus,Q9212,pe,1997-09-09,1994-01-10,,264,LeVar Burton,Q5403,Ronald D. Moore,Q7854,,,164,7,La <i>Pegasus</i>,Le <i>Pegasus</i>,La <i>Pegasus</i>,Nanpa-sen Pegasus no Himitsu (Secret of Shipwreck <i> Pegasus</i>),Das <i>Pegasus</i> Projekt,82 (U),John Debney,Q4483,Parallels,Q6954,Q3806
A Matter of Honor,Q113,mt,1994-12-04,1989-02-06,2,134,Rob Bowman,Q7704,Burton Armus,Q1505,"Burton Armus,Wanda M. Haight,Gregory Amos","Q1505,Q9979,Q3568",34,2,Cuestión de honor,Question d'honneur,Questione d'onore,Sakusou-shita Bigaku (Tangled Esthetics),Der Austauschoffizier (Lo scambio di ufficiali),17 (PG),Ron Jones,Q7841,Unnatural Selection,Q9730,Q9185
The Icarus Factor,Q9153,if,1994-12-21,1989-04-24,4,140,Robert Iscove,Q7744,"Robert L. McCullough,David Assael","Q7752,Q2272",David Assael,Q2272,40,2,,Icare,Fattore Icaro,Icarus Densetsu (Icarus Legend),Rikers Vater (Il padre di Riker),20 (PG),Ron Jones,Q7841,Time Squared,Q9375,Q7091
Where No One Has Gone Before,Q10026,wn,1992-07-07,1987-10-26,2,106,Rob Bowman,Q7704,,,"Diane Duane,Michael Reaves","Q2524,Q6296",6,1,Donde nadie ha podido llegar,Où l'homme surpasse l'homme,Dove nessuno è mai giunto prima,Uchu no Hate kara Kita Otoko (Man Come from Edge of Universe),Der Reisende (Il viaggiatore),3 (PG),Ron Jones,Q7841,The Last Outpost,Q9169,Q5501
Heart of Glory,Q3718,hg,1993-03-13,1988-03-21,5,120,Rob Bowman,Q7704,Maurice Hurley,Q6102,"Dorothy Catherine Fontana,Maurice Hurley,Herbert J. Wright","Q2641,Q6102,Q3764",20,1,Corazón de gloria,Gloire et patrie,Cuore di Klingon,Samayoeru Klingon-senshi (Wandering Klingon Warrior),Worfs Brüder (I fratelli di Worf),10 (U),Ron Jones,Q7841,Coming of Age,Q1989,Q9058
Reunion,Q7574,re,1995-02-28,1990-11-05,2,181,Jonathan Frakes,Q53,"Brannon Braga,Ronald D. Moore,Jo Perry,Thomas Perry","Q1365,Q7854,Q4397,Q9329","Drew Deighan,Jo Perry,Thomas Perry","Q2684,Q4397,Q9329",81,4,Reunión,Réunion,Successione,Yuusha no Na no Moto ni (Sub Nomine Brave),Tödliche Nachfolge,41 (PG),Ron Jones,Q7841,Legacy (tng080),Q5331,Q3259
A Matter of Perspective,Q114,mp,1995-01-14,1990-02-12,4,162,Cliff Bole,Q1941,,,Ed Zuckerman,Q2755,62,3,Cuestión de perspectiva,Question de perspective,Punti di vista,Giwaku no Beam (Beam of Disbelief),Riker unter Verdacht,31 (PG),Ron Jones,Q7841,Déjà Q,Q2429,Q10167
Ménage à Troi,Q6191,me,1995-02-01,1990-05-28,6,172,Robert Legato,Q7755,,,"Fred Bronson,Susan Sackett","Q3222,Q8734",72,3,Menage a Trois,Ménage à Troi,Il rapimento,Ai-naki Kankei (Loveless Connection),Die Damen Troi,36 (U),Ron Jones,Q7841,Sarek (episodio),Q8029,Q9580
When the Bough Breaks,Q10024,wb,1997-03-22,1988-02-13,5,118,Kim Manners,Q5011,,,Hannah Louise Shearer,Q3645,17,1,Duérmete niño,Quand la branche casse,Il pianeta sterile,Shi ni Isogu Wakusei Aldea (Dying Planet Aldea),Die Sorge der Aldeaner (La preoccupazione degli Aldeani),9 (PG),Ron Jones,Q7841,Too Short A Season,Q9512,Q3803
The Price,Q9217,pr,1995-01-09,1989-11-13,2,156,Robert Scheerer,Q7770,,,Hannah Louise Shearer,Q3645,56,3,El precio,Le prix,Tunnel conteso,Hijounaru Kakehiki (Cruel Trade),Die Barzanhandel,28 (PG),Ron Jones,Q7841,The Enemy,Q9119,Q9277
We'll Always Have Paris,Q9999,wa,1997-03-29,1988-05-02,6,124,Robert Becker,Q7711,,,"Hannah Louise Shearer,Deborah Dean Davis","Q3645,Q2398",24,1,Siempre nos queda París,Paris sera toujours Paris,Ricordare Parigi,Toki no Hazama ni (In Between Time),Begegnung mit der Vergangenheit (Incontro con il passato),12 (U),Ron Jones,Q7841,Skin of Evil,Q8311,Q2006
