0-Titolo pagina,1-Istanza P14,2-Titolo italiano,3-Titolo tedesco,4-Titolo francese,5-Numero di produzione P1,6- Posizione nella lista P178,7-Data di pubblicazione originale,8-Stag. P18,9-Durata P32
The Best Exotic Nanite Hotel,Q10317,,,,LD-5003,3,2024-10-31,5,
A Farewell to Farms,Q10317,,,,LD-5004,4,2024-11-07,5,
Star Base 80?,Q10317,,,,LD-5005,5,2024-11-14,5,
Of Gods and Angels,Q10317,,,,LD-5006,6,2024-11-21,5,
Fully Dilated,Q10317,,,,LD-5007,7,2024-11-28,5,
Upper Decks,Q10317,,,,LD-5008,8,2024-12-05,5,
Fissue Quest,Q10317,,,,LD-5009,9,2024-12-12,5,
The New Next Generation,Q10317,,,,LD-5010,10,2024-12-19,5,
